SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-178,TRUE,Babett,04.12.,11.14.,0,,,M16286,SGN-Steel (Pintér és Társa),EmR-1600,magasnyomású szivattyú egység,X2P5502_CB_ + kuplung ház + kuplung + motor,,BÁ,
SZÉV2022-179,TRUE,GYE,04.12.,,,04.14.,,M05089,BIOTECH GMBH,K-B640,2db 6002ZZ csapágy,,,DÁ,
SZÉV2022-180,FALSE,IMP,04.13.,,,,,M14331,Csaba-Berényi Gépgyártó Kft,EmR-1605B, z fogaskerék,árajánlat és szállítási határidő,,DÁ,
SZÉV2022-181,TRUE,GYE,04.14.,,,04.27.,,M08086,JAVEL-INN (Németh és Társa KFT.),S-280, Z golyósorsó kiegyengetés és bemérés,,,DÁ,
SZÉV2022-182,TRUE,GYE,04.20.,,,04.29.,,M13374,Turning Works Zrt.,SC-32,2db 10-00026632-00 rúdadagoló szelep,,,DÁ,
SZÉV2022-183,TRUE,GYE,04.20.,,,04.22.,,M11253,Prímaró kft.,Smart-42,3db 10-00004052-00 SPZ1700 szíj,,,DÁ,
SZÉV2022-184,FALSE,IMP,04.20.,,,,,M21051,Gáspár Pack Kft.,SFM-760 (VM-760),"""Z"" tengely teleszkópos burkolat",,,CsZ,
SZÉV2022-185,TRUE,GYE,04.20.,,,,,M18306,DUNAFERR LABOR,KAFO CV-7A,ajtó gumiütköző,,Nem kérik,CsZ,
SZÉV2022-186,TRUE,GYE,04.21.,,,04.27.,,M17116,SZÉV tartalék,,Vörös AiS 100-LW 15 H (Y) motor csapágyak,"2db GMN S6208 C TXM ABEC7 DUL
1 db 6206 TCG 12P4",,DÁ,
SZÉV2022-187,TRUE,GYE,04.21.,,,,,M04135,Blauform kft.,Euroturn12B,"Főorsó csapágyak, ellenorsó csapágyak, főhajtás szíjak",,,DÁ,
SZÉV2022-188,FALSE,IMP,04.21.,,,,,M04095,BOCZ-N KFT.,K-B1050,"""X"" golyósorsó + csapágyak",,,CsZ,
SZÉV2022-189,TRUE,ERA,04.22.,,,05.26.,,,SZÉV tartalék,,"4-es induktív 10db, 5ös induktív 15db",,,DÁ,
SZÉV2022-190,TRUE,IMP,04.22.,,,03.28.,,M14290,SLOVTOS - Valcik,EmL-610B,"""X"" teleszkópos burkolat",jobb és bal oldali is,,CsZ,
SZÉV2022-191,TRUE,GYE,04.22.,,,04.28.,,M07267,K-Kart,TMV-1050A,1db 1000-5M 30mm széles szíj,,,DÁ,
SZÉV2022-192,TRUE,GYE,04.25.,,,04.28.,,M20174,Berettyóújfalui SZKI,E3N,Pneumatika / Szűrőegység+ csésze (FR 3-08-30-S),10-10002914-00,,CsZ,
SZÉV2022-193,TRUE,GYE,04.26.,,,04.29.,,M05006,Fire Control (Dendrit),TMV-850,"DAF132K23A10-5 tekercselés, csapágy",,,DÁ,
SZÉV2022-194,TRUE,GYE,04.26.,,,,,,Vörös kft. ,,AiS100-LW 15 H (Y) (Nr.:CC2-10-143) tekercselés,,,DÁ,
SZÉV2022-195,TRUE,GYE,04.26.,,,04.29.,,,SZÉV tartalék,,10-10005449-00 szűrőbetét 10db,,,CsZ,
SZÉV2022-196,TRUE,GYE,04.27.,,,,,M14017,AI LAB S.C.,BNC-446,hidraulika motor+szivattyú,"motor:00143, szivattyú: VHO-F-20-A2-B5-LIS",Nem kérik,CsZ,
SZÉV2022-197,TRUE,GYE,04.27.,,,05.02.,,M08020,GRIF-TOOLS,EmL-610,2db Szerszámcserélő motor 5RK60GN-CPTS,10-00005694-00,,CsZ,
SZÉV2022-198,TRUE,GYE,04.27.,,,05.11.,,,SZÉV tartalék,,tartalék csapágy 5db 6002-ZZ,,,DÁ,
SZÉV2022-199,TRUE,GYE,04.27.,,,,,,SZÉV tartalék,,1db mágneses felszedő,,,DÁ,
SZÉV2022-200,FALSE,IMP,04.28.,,,,,M15231,KELET-SZERSZÁM,VD-510,Motor (SVM-75L) ventillátor - 5db,10-00033258-00,,CsZ,
SZÉV2022-201,TRUE,IMP,04.28.,,,05.23.,BET2022/02041,M17124,PEMÜ Műanyagipari kft.,PROTH PSGS-2550AH,4 darab MOUJEN  MEA-9108G billenős végálláskapcsoló,,,CsZ,
SZÉV2022-202,TRUE,GYE,04.28.,,,,,M16135,LOKO TRANS,BNC-40120,Központosító csúcs a szorítóorsóhoz (NCT tervezés),orsó KNCS – NB 325 – 104 / SMW Autoblock 89357119,Nem kérik,CsZ,
SZÉV2022-203,TRUE,GYE,04.28.,,,04.29.,,M15116,Szkaliczki,EmR-1020D,4db - 30TAC62 golyósorsó csapágy,,,CsZ,
SZÉV2022-204,TRUE,IMP,04.29.,,,,,M13220,BOMBARDIER,EmB-1605G,ellensúly tartó lánc - 1pár,SZÉV2022-213 lett megrendelve,,CsZ,
SZÉV2022-205,TRUE,GYE,04.29.,,,04.30.,,M21102,GYOPÁR 2000 KFT. ,MSL-200,A6 főorsó tüske A2-6 orsóhoz,,,DÁ,
