Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2021-0288,FALSE,IMP,10.19,,0,,,"M07151
M07152",MSK,"Euromill-1500/1
Euromill-1500/2","szerszámzseb, főhajtás szíj, X-Y-Z burkolat",,
SZÉV2021-0289,TRUE,GYE,10.20,,1,10.22.,,M18120,EMPLASTRUM KFT.,EmL-610B,HPB VM-100L főmotor csapágy,,
SZÉV2021-0290,TRUE,GYE,10.21,,,10.22.,,M16098,KERESZTES ZSOLT EV,BNC-446,X-tengely csapágyak,,
SZÉV2021-0291,TRUE,GYE,10.21,,,10.25.,,M16171,SZŰCS JÓZSEF EV,M16171,főorsó szíj 900-5GT-30mm,,
SZÉV2021-0292,TRUE,ERA,10.21,,,10.25.,,-,SZÉV,BA revfej,"EBE tárcsás kapcsoló 44764-910003,10-00010376-00",,
SZÉV2021-0293,TRUE,GYE,10.25,,0,,,M18134,CONTITECH,BNC-446,(levegőelőkészítő csésze) - vízszűrő pohár FF06,,
SZÉV2021-0294,TRUE,IMP,10.27,,0,01.03.,,M19038,IK METÁL,KAFO KMC-4122 - HABOR HA-260A,HABOR FP-108EX S1-B ventilátor,10-00019661-00,
SZÉV2021-0295,FALSE,IMP,10.28,,,,,M09131,Kokilla,VMC-1600F,árajánlat hajtott szerszám tengely + gyűrű + elektromágnes,,
SZÉV2021-0296,TRUE,BABETT,11.02,,0,11.10.,,M14162,TEVILL MÉRNÖK KFT.,B640, Kondia DIN40 főorsó csipesz - 5db,,
SZÉV2021-0297,TRUE,GYE,11.02,,0,11.08.,,M18155,MÁTÉ-MARTENZIT ,EmL-1020B 5TT-K,10-10005449-00 szűrőbetét 10db,,
SZÉV2021-0298,TRUE,GYE,11.02,,,11.03.,,M18180,DGA,KAFO-NCT BMC-2012,Szűrő / P551551 Donaldson szűrőbetét - 2db,10-00016042-00,
SZÉV2021-0299,FALSE,BABETT,11.02,,,,,-,MIAS,MZP3000,DAF132K54A10-5 aszinkron szervo főmotor,,
SZÉV2021-0300,FALSE,GYE,11.02,,1,,,M17147,Metagalax,Smart S8,Grundfos SPK4-3/3A A-W-A-CVBV,,11.04. án az ajánlatot továbbítottuk
SZÉV2021-0301,TRUE,GYE,11.02,,1,11.15.,,M13054,Házak Ásza,MM-760,HPB VM100S-54-40-15-08 főmotor csapágyak: 1 db 6306 VVC3 és 1 db 6307 VVC3,,
SZÉV2021-0302,FALSE,GYE,11.03,,,,,M04030+M10184,METAL-99 KFT.,Chiron FZ-16 L,"Árajánlat ""Y"" pályavédő burkolatra",,11.08. án az ajánlatot továbbítottuk
SZÉV2021-0303,TRUE,GYE,11.04,,0,11.04.,,M14235,SCHUNK,AXA VSC-2-M,670-5M-25 szíj,,
SZÉV2021-0304,TRUE,GYE,11.04,,0,12.07.,,M15292,NCT,Glória FQS-40,"1 db 6012Z
2 db 7012C",,
SZÉV2021-0305,FALSE,GYE,11.04,,1,,,M07410/M16263,NCT Akadémia,betonágyas eszterga,"2 db 7016 CTRDULP3
2 db 7018 A5TRDULP3",,11.05. bekeült SZÉV2021-0281
