Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2021-0069,FALSE,IMP,03.02,,1,,,M10219,Kokilla Prec,MM-800,MM-800 főhajtás szíjtárcsák 10.000 rpm,,
SZÉV2021-0070,TRUE,GYE,03.02,,1,03.22.,,M10219,Kokilla Prec,MM-800,Cells 10.000 rpm főorsó felújítás // MM-800,,
SZÉV2021-0071,TRUE,GYE,03.02,,0,03.19.,,-,SZÉV,-,SZÉV készlet - GEKA vízipisztoly,,
SZÉV2021-0072,TRUE,GYE,03.03,,1,03.22.,,M06170;M19106,Juhász Sándor EV,EmL-510,EmL-510 főorsó 8.000 rpm felújítás,,
SZÉV2021-0073,TRUE,GYE,03.04,,0,03.19.,,M15248;M10139,Hajdu Autotechnika,EmR-1200D,EmR-1200D főorsó felújítás 10.000 rpm,,
SZÉV2021-0074,TRUE,LOG,03.04,,1,03.29.,,-,SZÉV,-,AMS 180 állórész tekercseltetés,,
SZÉV2021-0075,TRUE,IMP,03.04,,1,07.01.,,M06170;M19106,Juhász Sándor EV,EmL-510,Royal Ø120 kis tubusos főorsó 5GT szíjtárcsa,,
SZÉV2021-0076,TRUE,GYE,03.04,,0,03.25.,,M11161,EFT és Társai Szerszámélező és Gyártó,JCL-60AHD-CNC,LS revfej hajtott szerszám alkatrészek,,
SZÉV2021-0077,TRUE,IMP,03.08,,0,03.25.,,M15076,Steiger,FBE-3000,Szögfej alkatrész // FBE-3000,,
SZÉV2021-0078,TRUE,GYE,03.08,,0,03.22.,,M18126/P18088,Huonker Hungária,JSL-32ABMs,JSL-32 ellenorsó csapágyak,,
SZÉV2021-0079,TRUE,IMP,03.09,,0,05.06.,,M17171,Dr. Varga Tamás,SC-32,Anyagadagoló csapágyház // SC-32,,
SZÉV2021-0080,TRUE,IMP,03.09,,0,07.01.,,M17053,Gia Form,EmR-610D,Kosoku 30 bar-os CTS + motor,,
SZÉV2021-0081,TRUE,GYE,03.09,,1,03.22.,,M05239,Rába Futómű Kft.,TMV-1050A,"TMV-1050 főorsó, főmotor javítás",,
SZÉV2021-0082,TRUE,GYE,03.10,,0,04.09.,,M18100/P18196,Ka-Span,SV-1000,VG22 (Mehrzwecköl) 22 olaj,,
SZÉV2021-0083,TRUE,GYE,03.10,,0,04.22.,,-,SZÉV,-,30TAC csapágy készlet,,
SZÉV2021-0084,TRUE,GYE,03.16,,0,04.08.,,,Duna Precizíós,"MM-760, MM-800","MM-760, MM-800 főorsó csapágyazás",,
SZÉV2021-0085,TRUE,IMP,03.16,,0,05.13.,,M09033,Consystech,JSL-32AB,Barload rúdadagoló anyag támasztó,,
SZÉV2021-0086,FALSE,IMP,03.16,,0,,,M12002,TS Hungária,VL-100C,Hidraulikaolaj szűrők // VL-100C,,
SZÉV2021-0087,FALSE,GYE,03.17,,0,,,M10219,Kokilla Prec,MM-800,Rotoflux A10-701-05L forgócsatlakozó,,
SZÉV2021-0088,TRUE,GYE,03.17,,1,04.08.,,M15230,Kelet Szerszám,VD-510S,VD-510S főorsó és főmotor felújítás,,
SZÉV2021-0089,TRUE,LOG,03.17,,1,04.09.,,M05239,RÁBA Futómű Kft.,TMV-1050,DAF132 K A2315-5 tekercselés,,
SZÉV2021-0090,TRUE,LOG,03.17,,0,04.09.,,M020133,Vereszt,Euroturn-12C,DAF100 tekercselés,,
SZÉV2021-0091,TRUE,IMP,03.17,,0,07.01.,,M10219,Kokilla Prec,MM-800,775-5GT-40 szíjak // MM-800,,
SZÉV2021-0092,TRUE,IMP,03.18,,0,05.10.,,M15230,Kelet Szerszám,VD-510S,Solpower SVM-75L-30 motor csapágyak,,
SZÉV2021-0093,TRUE,IMP,03.18,,0,05.18.,,-,SZÉV,-,Smartc GU forgócsatlakozó,,
SZÉV2021-0094,FALSE,GYE,03.18,,0,,,M13233,K-KART spol. s.r.o.,Baoma DK-7740B,Szűrő - 5db,,
SZÉV2021-0095,TRUE,BABETT,03.18,,0,04.23.,,-,SZÉV,-,TBMA-100 motor fogaskerék agy,,
SZÉV2021-0096,FALSE,IMP,03.18,,0,,,M08133,MTA Wigner,EML-510CNC,Vezetékvédő burkolatok // EmL-510,,
SZÉV2021-0097,FALSE,GYE,03.18,,0,,,M08086,Javel-Inn,Slovtos S-280,"Főorsó, golyósorsó csapágyazás // S-280",,
SZÉV2021-0098,TRUE,GYE,03.18,,1,04.23.,,M05105,Pro Form,Kondia B-640,Heidenhain QAN-200U főmotor csapágyazás,,
SZÉV2021-0099,FALSE,IMP,03.19,,1,,,M09131,Kokilla Prec,VMC-1600F,"""Y"" tengelyvédő burkolat // VMC-1600F",,
SZÉV2021-0100,TRUE,IMP,03.22,,0,07.01.,,M12268,Doroti Pack,EmB-1304B,Tárforgató motor + hajtómű,,
SZÉV2021-0101,TRUE,GYE,03.22,,0,03.29.,,M07158,Ada-Met CNC,EmL-610,EmL-610 főorsó felújítás 8.000 rpm,,
SZÉV2021-0102,TRUE,GYE,03.23,,0,,,M17181,BMB Boros,MM-850SV,AiS100 15.000 rpm javítás // MM-850SV,,
SZÉV2021-0103,FALSE,GYE,03.24,,0,,,M08086,Javel-Inn,Slovtos S-280,"""X"" tengely golyósorsó // S-280",,
SZÉV2021-0104,TRUE,BABETT,03.24,,0,04.06.,,M10164,Dömötör István EV,Snupy 175,Sauter 0.5.480 alkatrész igény,,
SZÉV2021-0105,TRUE,LOG,03.24,,1,05.13.,,M17181,BMB Boros,MM-850SV,AiS100 (CC2-10-4012) tekercselés,,
SZÉV2021-0106,TRUE,IMP,03.25,,1,04.22.,,M18030,Fémtek 1971,KAFO-NCT KMC-2622,"Ellensúly munkahenger, tömítések // KMC-2622",,
SZÉV2021-0107,TRUE,IMP,03.25,,1,04.23.,,M18311/P18154,Alexandrit,RY-42,Főhajtás szíjtárcsák + szíj // RY-42,,
SZÉV2021-0108,TRUE,BABETT,03.29,,1,03.30.,,M13150,Kormány Kft.,TNL-130ADT,HPB VM132M-54-40-20-06/S főmotor,,
SZÉV2021-0109,FALSE,IMP,03.29,,0,,,M12362,SL-Forg,BNC-1640,"""X"" tengely hajtás elemei // BNC-1640",,
SZÉV2021-0110,FALSE,IMP,03.30,,0,,,-,Inter-V,TMV-850,"TMV-850 ""Z"" tengely burkolat",,
SZÉV2021-0111,FALSE,GYE,03.30,,0,,,M06222,Steelforg,Euromill-610,Euromill-610 főorsó felújítás - 8.000 rpm,,
SZÉV2021-0112,FALSE,,03.31,,0,,,-,SZÉV,-,Deublin készlet,,
SZÉV2021-0113,FALSE,BABETT,03.31,,0,,,-,Dendrit,Kondia HM-1060,"Kondia HM-1060 ""Y"" golyósorsó, ellensúly munkahenger",,
SZÉV2021-0114,TRUE,BABETT,03.31,,0,05.10.,,M13322,KOÓP 55 KFT,EmR-610D,Olajhűtő MANFORD főorsóhoz 6000BTU ventilátor,,
SZÉV2021-0115,FALSE,IMP,04.01,,0,,,M19025,Oteluri Si Debitari,HTL-76DT,HTL-76 hátoldali lemezburkolat,,
SZÉV2021-0116,TRUE,GYE,04.01,,0,,,M13150,KORMÁNY KFT.,TNL-130ADT,Topper BF-1500 rúdadagoló munkahenger - 10-00009560-00 Festo DGO-25-1600-PPV-A-B,,
SZÉV2021-0117,FALSE,IMP,04.06,,1,,,M14165,Sanatmetal,EmR-1200M-5HTA billenőfejes,Orsómotor olajhűtő klíma,,
SZÉV2021-0118,FALSE,IMP,04.06,,1,,,M10046,Inter-V,EmB-1105G,Point-Wexten olajhűtő szivattyú,,
SZÉV2021-0119,FALSE,IMP,04.06,,0,,,M15230,Kelet Szerszám,VD-510S,Solpower SVM-75L-30 (non-CTS) // VD-510S,,
SZÉV2021-0120,TRUE,GYE,04.06,,0,05.13.,,M05105,Pro Form,Kondia B640,"Kondia B-640 ""Y"" golyósorsó csapágyazás",,
SZÉV2021-0121,FALSE,GYE,04.06,,1,,,M04075,Zavod Konvektor,Tomat,"""Z"" golyósorsó // Tomat",,
SZÉV2021-0122,FALSE,IMP,04.08,,1,,,M15087,Ki-Ke,Smart S8,"""Z"" golyósorsó // Smart S8",,
SZÉV2021-0123,TRUE,GYE,04.09,,1,05.04.,,M11230,Bombardier,AXA VSC-3-5000,"AXA ""Y"" golyósorsó csapágyak",,
SZÉV2021-0124,TRUE,GYE,04.09,,0,05.18.,,"M11161
M11087",EFT és Társai Szerszámélező és Gyártó,"JCL-60AHD-CNC
JCL-75AMSDT",,,
SZÉV2021-0125,FALSE,GYE,04.10,,1,,,M18126,Huonker Hungária,JSL-32ABMs,JSL-32 ellenorsó csapágyak,,
SZÉV2021-0126,FALSE,GYE,04.12,,0,,,M18126,Huonker Hungária,JSL-32ABMs,JSL-32 főorsó csapágyak,,
SZÉV2021-0127,FALSE,GYE,04.12,,0,,,M20054,Gép és Ferrotech,Pegard szögfej,Kenőtáp tartó Pegard szögfejhez,,
SZÉV2021-0128,FALSE,BABETT,04.12,,1,,,M05040,Berta dugattyú,TNL-65,Sauter 0.5.480.510-8poz revfej forgató motor,,
SZÉV2021-0129,TRUE,GYE,04.12,,1,06.11.,,M15087,Ki-Ke,Smart S8,"""Z"" golyósorsó javítás, gyártás",,
SZÉV2021-0130,FALSE,,04.13,,0,,,M11087,EFT,JCL-75AMSDT,Biztonsági ablak,,
SZÉV2021-0131,FALSE,Log,04.13,,1,,,M14165,Sanatmetal,EmR-1200M-5HTA billenőfejes,Microlab M4-RMSC orsómotor tekercselés,,
SZÉV2021-0132,FALSE,IMP,04.13,,0,,,M19025,S.C.OTELURI SI DEBITARI S.R.L.,HTL-76DT,géplámpa,,
SZÉV2021-0133,TRUE,GYE,04.14,,1,05.13.,,M10219,KOKILLA PREC KFT.,MM-800 ,"""X"" olajzó cső ",10-00009168-00,
SZÉV2021-0134,FALSE,GYE,04.15,,0,,,-,Szimikron,EEN-400,főorsó hajtóműház olaj-áramlás jelző kupak,,
SZÉV2021-0135,TRUE,GYE,04.21,,1,04.29.,,M07023,Pi Dental,Kondia B640,"Főorsó, főmotor felújítás // Kondia B640",,
SZÉV2021-0136,TRUE,IMP,04.21,,0,05.13.,,M10046,Inter-V,EmB-1105G,Royal főorsó csapágyazás // VHG-1105,,
SZÉV2021-0137,TRUE,GYE,04.21,,0,,,M07410/M16263,NCT Akadémia,Microcut eszterga,Plexi ablak Microcut esztergához,,
SZÉV2021-0138,TRUE,LOG,04.22,,0,05.10.,,M15230,Kelet Szerszám,VD-510S,Solpower SVM75L tekercselés,,
SZÉV2021-0139,FALSE,GYE,04.27,,1,,,M18277,Arrabona Racing Team,Miniturn-120,"""X"" tengely csapágy perselyezés",,
SZÉV2021-0140,FALSE,IMP,04.27,,0,,,-,SZÉV,HPB jeladó,MEH-30-1024PEF2 (010330430002) 12000rpm,10-00027001-00,
SZÉV2021-0141,FALSE,IMP,04.28,,0,,,M14054/M16261,SZÉV,MM-760,Kenéscsövek,,
SZÉV2021-0142,FALSE,GYE,04.28,,0,,,-,SZÉV,Spirsin körasztal,Spirsin körasztal talp köszörülés,,
SZÉV2021-0143,FALSE,GYE,04.30,,1,,,M14167,Industriebedarf Krüger (Czetec),HG-400 NCT016,"Szerszámtárajtó megvezetés, főorsó burkolat",,
SZÉV2021-0144,FALSE,GYE,05.03,,0,,,M13273,Precision Kft.,SC-32 hajtott szerszám,SC-32 hajtott szerszám egység csapágyak,,
SZÉV2021-0145,TRUE,GYE,05.03,,1,,,M20101/M08290,MST Engineering,EmB-1300-CNC,Karforgató hajtómű motor // EmB-1300,,
SZÉV2021-0146,TRUE,GYE,05.03,,1,06.11.,,M14165,Sanatmetal,EmR-1200M-5HTA billenőfejes,Microlab M4-RMSC orsómotor csapágyak,,
SZÉV2021-0147,FALSE,GYE,05.04,,1,,,M07158,Ada-Met CNC,EmL-610,EmL-610 főorsó csapágyazás,,
SZÉV2021-0148,FALSE,IMP,05.05,,1,,,M15235,Helti Kft.,HT-52DT,Auto Strong M1552 hidraulikus meghúzó,,
SZÉV2021-0149,TRUE,GYE,05.10,,1,05.13.,,M18052/P18030,Trimble Kft.,TCS-1500,Munkadarab elkapó tengely // TCS-1500,,
SZÉV2021-0150,TRUE,IMP,05.10,,1,11.11.,BET2021/04536,M13264,K-Kart,TB-25YABMs,"""X"" tengely golyósorsó // TB-25Y",,
SZÉV2021-0151,TRUE,BABETT,05.12,,1,05.26.,,M08100,Le Belier,WHN-9B,CE-12 hajtómű javítás,,
SZÉV2021-0152,FALSE,BABETT,05.12,,0,,,M07323,Metal 99,Gildemeister CT-40,Szegnyereg mögötti burkolat // CT-40,,
SZÉV2021-0153,TRUE,IMP,05.18,,0,06.11.,,-,SZÉV,-,920-5GT-30 fogazott szíjak,,
SZÉV2021-0154,FALSE,IMP,05.21,,0,,,-,SZÉV,-,Ton Fou RC-08 vízgyűjtő,,
SZÉV2021-0154,TRUE,IMP,05.31,,0,,,M08073,Magyarmet,TMV-1050,Deublin 1129-205-201 forgóátvezető,"2 db 1129-205-201
2 db 902-120-188",
SZÉV2021-0155,FALSE,GYE,05.25,,0,,,M15116,Szkaliczki és társai,EmR-1020D,Főorsó 15.000 rpm javítás // EmR-1020D,,
SZÉV2021-0156,FALSE,IMP,05.27,,0,,,,Best-Tool,Chmer CM-240Z,Chmer CM-240Z kezelőpanel,,
SZÉV2021-0157,FALSE,GYE,05.27,,0,,,M14229,Metarad,TCS-1500,Munkadarab elkapó komplett csoport // TCS-1500,,
SZÉV2021-0158,FALSE,IMP,05.31,,0,,,M08073/M19095,Magyarmet,TMV-1050,"""Z"" tengely védőburkolat // TMV-1050",,
SZÉV2021-0159,FALSE,IMP,06.01,,0,,,M12370,Gafor,HT-52DT,Belső hűtés szűrőbetétek // HT-52DT,,
SZÉV2021-0160,FALSE,LOG,06.01,,0,,,-,SZÉV,-,AMS180 állórész tekercseltetés 2021/06/01,,
SZÉV2021-0161,TRUE,GYE,06.01,,0,06.08.,,M14216,V-Forg,VD-510S,VD-510S főorsó javítás,,
SZÉV2021-0162,FALSE,GYE,06.02,,0,,,M06050,GYE,Okuma LC-20,Okuma LC-20 főorsó csapágyazás,,
SZÉV2021-0163,TRUE,GYE,06.02,,0,06.16.,,,SZÉV tartalék / Gyopár,RY-42,munkadarab elszállító konvejor laposszíj,,
SZÉV2021-0164,FALSE,HDH,06.02,,0,,,-,SZÉV,"AMS112, AMS180",AMS motorok jeladói,,
SZÉV2021-0165,FALSE,GYE,06.04,,0,,,-,SZÉV,-,Donaldson szűrőbetétek,,
SZÉV2021-0166,TRUE,GYE,06.04,,1,,,M14235,Schunk Carbon,AXA VSC-2,"AXA VSC-2 ""Z"" tengely golyósorsó",,
SZÉV2021-0167,FALSE,LOG,06.07,,0,,,M14320,METÁL-CNC 2000 KFT.,MM-760,"""X"" tengely motor Ai8-54-30-EH/M-Z1 // MM-760",,
SZÉV2021-0168,FALSE,BABETT,06.07,,0,,,M21008,Soproni SZKI,Tomill-160,"""Z"" tengely golyósorsó // FC-16",,
SZÉV2021-0169,FALSE,IMP,06.09,,0,,,M15099,Top Holding,EmL-1020B,"""X""-""Y"" golyósorsók // VL-1000",,
SZÉV2021-0170,FALSE,GYE,06.09,,0,,,-,SZÉV,-,Deublin forgócsatlakozók 902 / 1114,,
SZÉV2021-0171,FALSE,GYE,06.09,,1,,,M06050,Bocz-n,OKUMA LC20,TON-FOU tokmány meghúzó / RC-06 + hűtővízgyűjtő,,
SZÉV2021-0172,TRUE,GYE,06.09,,1,,,M10217,Szkaliczki és társai,MM-760,Cells főorsó felújítás // MM-760,,
SZÉV2021-0173,TRUE,IMP,06.10,,0,08.18.,,M10336,BÍRÓ KFT.,Protur:2x2(0223)={JSL-32AB),csipesz induktív érzékelő,,
SZÉV2021-0174,TRUE,GYE,06.10,,0,,,-,Szimikron,EEN-400,Szegnyeregbe való gumidugó,,
SZÉV2021-0175,FALSE,"GYE, LOG",06.11,,0,,,M17134,Meci és társa,KAFO CV-7,AiS100LW26H tekercseltetés - CC2-10-4007,,
SZÉV2021-0176,TRUE,GYE,06.14,,1,,,M18134,ContiTech Fluid Automotive Hungária Kft.,BNC-446,WALRUS szivattyú TPH 2T,,
SZÉV2021-0177,FALSE,LOG,06.14,,0,,,M15303,MVM PAKSI ATOMERŐMŰ,HBM-4 fúró-marómű,DPB-3-40-160,,
SZÉV2021-0178,FALSE,LOG,06.15,,0,,,M16282,Kelet-Szerszám,VD-510S,Solpower SVM-75L-30 főmotor (Sn: 17110206C) tekercseltetés,,
SZÉV2021-0179,FALSE,GYE,06.16,,1,,,M10219,KOKILLA PREC KFT.,MM-800 ,"10-00005791-00,Tartalék/ MM-800 / Megfogó csipesz DIN#40",,
SZÉV2021-0180,TRUE,SZÉV,06.16,,1,,,M13243,BÍRÓ KFT.,TAJMAC.ZPS.H400.MMK-004,palettacserélőjéhez szükséges 2db 7210 AA,,
SZÉV2021-0181,TRUE,IMP,06.16,,0,09.01.,BET2021/03336,M18169,Magyarmet,MXS-650DD (VU-620/ w/ 40Tool/ FHD-650),,kb 60nap,
SZÉV2021-0182,TRUE,GYE,06.17,,1,,,M10217,Szkaliczki és társai,MM-760,Cells (max. 8000 rpm.) (S/N: SL-20603005) főrosó csapágyazás: 2db EX 507 PEI DUL és 2db 7012CTYNSULP4,,
SZÉV2021-0183,TRUE,GYE,06.18,,0,,,M20054,Gép és Ferrotech,NCT-HBM-160 PG,1/4 nyomásmérő óra 60 BÁR,,
SZÉV2021-0184,FALSE,GYE/IMP,06.21,,0,,,M17122,MF CNC Kft.,Hurco TM6 eszterga,Központi olajzó YET-C1P1/YET-C2P2,,
SZÉV2021-0185,TRUE,GYE,06.22,,0,,,M09132,Medimetal,FCL460,Körasztal:GoldenSun-CNCT-101+Schunkhoz B7002-C-T-P4S-UT csapágy,,
SZÉV2021-0186,FALSE,GYE,06.23,,0,,,M08134,POLIOL PET PACKAGING KFT.,EML-510,oldalajtó kilincs,,06.25 lezárt
SZÉV2021-0187,TRUE,SZÉV,06.28,,1,,,M20150,Vámosgép,WFQ-80,főmotor csapágy 8208 LHA és 6206 LHA,,
SZÉV2021-0188,FALSE,IMP,06.28,,0,,,M16098,Keresztes Zsolt,BNC-446,X tengely és motor oldali szijtárcsapár + szíj,,
SZÉV2021-0189,FALSE,GYE,06.28,,0,,,-,SZÉV,-,1db Jasic TIG 250P (E102) AC/DC inverteres hegesztőgép,link,Póka István engedélyezte
SZÉV2021-0190,FALSE,GYE,06.28,,0,,,-,SZÉV,-,O+P M18 Kézi csőhajlító 18mm-ig,link,
SZÉV2021-0191,TRUE,GYE,06.29,,1,,,M14097,Duna Precíziós Kft.,MM-800S,Főorsó csapágy: 4db 60BNR10STSUELP3 ,,
SZÉV2021-0192,TRUE,GYE,06.29,,1,,,M14097,Duna Precíziós Kft.,MM-800S,Főmotor csapágy 6308 2Z / C3 1db,,plusz egy készlet a plusz&rolltól
SZÉV2021-0193,FALSE,,,,,,,,,,,,
SZÉV2021-0194,TRUE,SZÉV,06.29,,0,,,M20034,SZÉV,FV-30,körasztal szimering G20 x 35 x10 NBR és O gyűrű 41.5 x 2,,
SZÉV2021-0195,FALSE,IMP,07.01,,0,,,-,Rampf Formen,-,HBO-250PTSB3 + HBO-600PSB olajhűtő,,
SZÉV2021-0196,TRUE,GYE,07.01,,0,,,-,SZÉV,-,8db 30TAC62CSUHPN7C golyósorsó csapágy,,
SZÉV2021-0197,FALSE,GYE,07.02,,0,,,M20182,Amazone Technology Kft.,Gildemeister CT-60,forgácskihordó lánc ,,Ez szerintem már lezárt
SZÉV2021-0198,TRUE,IMP,07.02,,0,08.18.,,-,SZÉV,MM-430,20db 675-5GT-30 spindle belt,,
SZÉV2021-0199,TRUE,IMP,07.05,,0,08.18.,,M08130,SZÉV,EML-510,20db 695-5GT-30 belt,,
SZÉV2021-0200,TRUE,IMP,07.06,,0,igény sztornózva,,M13095,Hantech ,TNL-100AL-I,"1db munkatér belső, szegnyereg mögötti, burkolat.",,
SZÉV2021-0201,FALSE,GYE,07.07,,0,,,M20034,SZÉV,FV-30,2db 00-FV30POLI-00 víztiszta polikarbonát ablak 790mm x 470mm x 4mm,,
SZÉV2021-0202,TRUE,IMP,07.07,,0,08.23.,,M10112,ERFORG CNC KFT.,MM-760,esernyős szerszámtár tárcsa + 16 db zseb,,
SZÉV2021-0203,FALSE,IMP,07.07,,0,,,,KOÓP 55,-,Mindman levegőelőkészítő egység (szűrő-szabályzó-csésze),,
SZÉV2021-0204,TRUE,SZÉV,07.09,,1,,,"M08130
M19095",Magyarmet,EML-510,csapágy: 6306 2Z /5474 Ft/ 1db 6209-2Z C3 /8625 Ft/ 1db (plusz and roll) ,,
SZÉV2021-0205,FALSE,GYE,07.09,,0,,,M18120,EMPLASTRUM KFT.,EmL-610B,biztonsági üveg,,Ez már lezárt?
SZÉV2021-0206,FALSE,IMP,07.12,,,,,M20017,CSABA-BERÉNYI GÉPGYÁRTÓ KFT.,KAFO-NCT BMC-2616,nagynyomású szűrőbetét / PRF70K25M,,
SZÉV2021-0207,TRUE,GYE,07.16,,1,08.06.,BET2021/03083,M14249,Doroti,EmL-510,"10-00016175-00,Forgócsatlakozó / ROTOFLUX (A08-1501-05L)",,
SZÉV2021-0208,FALSE,IMP,07.16,,1,,,M07153,MSK,EmL3000,szerszámváltó kar,M19173/P19114,
SZÉV2021-0209,FALSE,IMP,07.16,,1,,,M07153,MSK,EmL3000,"""Z"" teleszkópos burkolat",,
SZÉV2021-0210,TRUE,GYE,07.16,,0,,,M17037,FIRE CONTROL,K-HM-1060,"nyomásmérő óra 1/8"" - 60BAR",,
SZÉV2021-0211,FALSE,GYE,07.19,,0,,,-,SZÉV,-,"TOPFLEX-PUR 10x0,14+2x0,50 / 228  2x15m",augusztus elején Erikától érdeklődni,
SZÉV2021-0212,FALSE,IMP,07.19,,1,,,M15196;M17191,Vámosgép,WFQ-80,Z golyósorsó és hozzá tartozó csapágyak,,
SZÉV2021-0213,TRUE,IMP,07.19,,0,05.04.,,-,SZÉV,CV-7,Lube AMZ-III kenőtápra orsóház olajköd kenéshez,,
SZÉV2021-0214,FALSE,IMP,07.20,,0,,,M18306,SZÉV,CV-7A,"iShaw FL-025030 szűrőbetét 5db
BMC-2012 hidraulika egység szűrők: ",,
SZÉV2021-0215,TRUE,IMP,07.21,,0,09.02.,BET2021/03367,M11120,Petrus,EmR-1200D,Olajhűtő MANFORD főorsóhoz 6000BTU ventilátor,,
SZÉV2021-0216,TRUE,IMP,07.28,,0,12.10.,BET2021/05106,M04119,K-KART spol. s.r.o.,TNL-100AL2-2,szegnyereg alatt található megvezető tömb és rögzítő csavar,,
SZÉV2021-0217,FALSE,IMP,07.29,,1,,,M18274,FERITA CNC KFT.,MM-850E,LUBE P-107 zsírzótáp,,
SZÉV2021-0218,TRUE,GYE,07.29,,0,,,M17164,LOG VALVE KFT,EML-2000,"10-00002612-00,Forgócsatlakozó / Deublin (902-120-188) forgócsatlakozó",,
SZÉV2021-0219,TRUE,GYE,08.03,,0,,,M19164,Frigo Metal,KAFO-NCT CV-7A,10-10005449-00 szűrőbetét 10db,megrendelve 08.03,
SZÉV2021-0220,TRUE,IMP,08.03,,1,11.05.,,M07153,MSK,EML3000 / EAST-LION,szerszámváltó kar East-leon,,
SZÉV2021-0221,FALSE,GYE,08.03,,0,,,-,BETATHERM KFT.,EEN-320,"Kérünk keresztszán első-hátsó védőrolót, (1-1 darabot)",,
SZÉV2021-0222,FALSE,IMP,08.05,,1,,,M13049,MST ENGINEERING KFT. MEZŐGÉP-METISZ KFT. MST ENGINEERING MEZŐGÉP DEBRECEN KFT. (volt:FERROSZETT),EMB-1604B ,"ellensúly lánc / ""Z"" tengely",,
SZÉV2021-0223,FALSE,GYE ,08.05,,0,5-5 db-ot megkaptunk 08.11-én,,-,SZÉV,-,"Olajgomba  0 - 10BAR 1/4"" (0166-40703-1-027) 10db
Olajgomba 10 - 20BAR  1/4"" (0166-41103-01-043) 10db",,
SZÉV2021-0224,FALSE,GYE,08.06,,0,,,-,SZÉV,-,végelem apa/anya E2C.10.10.028 energialánchoz,,
SZÉV2021-0225,TRUE,GYE,08.10,,0,08.11.,2021/000000694,,BÍRÓ,,Nimatic N-2430 szalagos olajleválasztó,,
SZÉV2021-0226,TRUE,GYE,08.10,,0,08.11.,2021/000000696,M08073,Magyarmet,TMV-1050,2 db hidraulika szűrő (P165875),a 10-00001470-00 Szűrő / 6 bar-os szűrőbetét ( Hyp. HP75L4-12MB canned ) a kiváltója,
SZÉV2021-0227,TRUE,GYE,08.11,,0,,,,Magyarmet,,"Nyomásmérő óra 1/8"" - 50BAR",,
SZÉV2021-0228,TRUE,GYE,08.12,,0,08.13.,2021/000000701,,Magyarmet,,10 db Sunon 120x120 230V ventilátor,,
SZÉV2021-0229,FALSE,IMP,08.13,,1,,,M07012/M18281,MOBILINTER,TNL-130ADT,Baruffaldi TBMA-200 revolverfej alkatrészek,,
SZÉV2021-0230,FALSE,GYE,08.13,,1,,,M16017,PROFIMILL,EmL-610B,4 db FAG B7012-C-T-P4S-UL főorsó csapágy,,
SZÉV2021-0231,TRUE,GYE,08.16,,0,08.17.,,,Micromark,Chiron FZ-12S,,,
SZÉV2021-0232,TRUE,GYE,08.16,08.27,1,,,M10336,Bíró,JSL-32AB,20db 71902 cdga/p4a csapágy árajánlat,,
SZÉV2021-0233,FALSE,BABETT,08.17,,1,,,M05086,Bagi Metál,FV-30,Főorsó szerszámbehúzó rugó,,
SZÉV2021-0234,TRUE,GYE,08.17,,0,08.26.,,-,K-KART spol. s.r.o.,Huzalszikra forgácsológép,4db HYDAC 1251193 szűrő / 10-10005347-00,,
SZÉV2021-0235,FALSE,IMP,08.17,,0,,,M09149,Kokilla prec.,GSA 200 körasztal,nyomásérzékelő pneumatika szelep,,
SZÉV2021-0236,FALSE,GYE,08.18,,1,,,M14116,Bíró Kft.,TNL-130ADT,"munkadarab kihordó szíj
2db Szíj / Laposszíj 89 mm x 3200 mm x 1,7 mm (Munkadarab elszállító konvejorra),10-10005403-00
2db Szíj / Laposszíj 89 mm x 2900 mm x 1,7 mm (Munkadarab elszállító konvejorra),10-10005402-00
kiegészítve +2db 3200-es szíjjal 08.30-án
",,09.10 beérkezett a fogarasira
SZÉV2021-0237,FALSE,LOG,08.18,,0,,,,SZÉV,,1db AI70 motor + 1db AI50 hűtőköpeny TOMIL,,SZR2021/03384 Megrendelés
SZÉV2021-0238,FALSE,BABETT,08.18,,0,,,,NCT SZÉV,Habor HA-100A elektromos szekrény klíma alkatrészek,"vezérlő panel, integrált áramkör (IC), ventilátor",,
SZÉV2021-0239,TRUE,GYE,08.19,,0,08.23.,,M17271,Plasma-Tech Systems,EmL-850,8db- 30TAC62 golyósorsó csapágy,,
SZÉV2021-0240,TRUE,SZÉV,08.19,,1,08.19.,,M14116,Bíró Kft. és SZÉV készlet,TNL-130ADT,7db 6203Z és 10db 6302Z csapágy,,
SZÉV2021-0241,FALSE,IMP,08.23,,0,,,M10336,Bíró Kft. és SZÉV készlet,JSL-32AB,hajtott szerszám szerszámtartó tengelyére illetve a hozzá tartozó szimeringek,,
SZÉV2021-0242,TRUE,GYE,08.23,,0,,,M04099,"MANZ AUTOMATION HUNGARY + SZÉV készlet
",KONDIA K-B1050-1,"főorsó Szíj / AT10/920/25 mm 10-00001299-00 
1+3db ",,
SZÉV2021-0243,TRUE,GYE,08.23,08.25,0,,,M09132,Medimeal,MM760 (FCL4),1db 7002CTRSULP3-NSK - 10-00022793-00,,
