Iktatószám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2019-0331,0,"GYE
SA",09.06,,1,ok,,M18098,FRIGO-METAL KFT,KAFO-NCT CV-7A,levegőelőkészítő egység kellene,,"SMC - RENDELÉS - SZR201903617 - SZÉV2019-0331 - Mikrószűrők, nyomásszabályzó
09.26. után várható"
SZÉV2019-0332,0,GYE,09.09,,0,09.12,,M14045 (M12360),PEMÜ Zrt,Hurco BMC-4020HT/M,Hurco X tengely szíj,Igény: 1 db Megadyne 420-RPP5 (szélesség: 36 mm),09.12. BD: elhoztuk
SZÉV2019-0333,0,GYE,09.09,,0,09.12,2019/832,M14093,Unitool-Plastik,EmR-1020D,Hajtóműház nívó ablak,"Igény: 1 db M25x1,5 (24,6 mm-t mért az Ügyfél) menetes, műanyag nívó csavar",09.10. BD: beérkezett
SZÉV2019-0334,0,GYE,09.09,,0,09.27,,M07069,Unitool-Plastik,EmL-510,Levegőszelep (Szerszámváltó),Igény: 1(+4) db 110V-os elektromágneses levegőszelep (Inlee IS-2252 vagy ezzel megegyező),
SZÉV2019-0335,0,"GYE
EG",09.10,,0,,2019/000001070,-,SZÉV,-,SZÉV mechanikus anyagigény 2019.09.10.,"- Golyósorsókhoz:
4 db M25x1.5 RM típusú orsóvég anya (ill. lásd a kattintható linken)
4 db M30x1.5 RM típusú orsóvég anya
4 db M35x1.5 RM típusú orsóvég anya
2 db YSF M25x1.5 orsóanya (EmL-510-hez) (lásd képen)

- Pneumatikus elemek:
1 db Neuma NV-QEV-3/8 levegő szelep (vagy ezzel megegyező, lásd képen)
5 db Airtac 5/2-es 24V levegőszelepek
5 db Airtac 3/2-es 24V levegőszelepek
5 db 10-00001930-00 Gyorscsatlakozó toldó 04-04 (3106 04 00)
5 db 10-00001942-00 Gyorscsatlakozó szűkítő könyök 6-4 (3102 04 06)
5 db 10-00001943-00 Gyorscsatlakozó szűkítő könyök 8-6 (3102 06 08)
5 db 10-00001944-00 Gyorscsatlakozó szűkítő könyök 10-8 (3102 08 10)
10 db 21-31041000-00 Gyorscsatlakozó T elosztó 10-10 (3104 10 00)
10 db 10-00001964-00 Gyorscsatlakozó T szűkítő 10-8 (3104 08 10)
10 db 10-00001962-00 Gyorscsatlakozó T szűkítő 6-8 (3104 06 08)
5 db 06750013 G1/4"" lepufogó
5 db G1/8"" lepufogó

- Csapágyak:
2 db 51102
4 db 25TAC csapágy
6 db 30TAC csapágy
1 db 6203 C3 2RSH
1 db 6203 ZZ C3
2 db 6205 ZZ C3
2 db 6209 ZZ C3 vagy 2RSH C3
2 db 6309 ZZ C3 vagy 2RSH C3
1 db INA ZARN2052TVA","11.06. BD. hátralék: pneumatikus elemek
11.15. MEGRENDELNI
1 db Neuma NV-QEV-3/8 levegő szelep (vagy ezzel megegyező, lásd képen)
MÉG TISZTÁZOM DÓRIVAL EG
5 db Airtac 3/2-es 24V levegőszelepek 1/4 NC
MÉG TISZTÁZOM DÓRIVAL EG  "
SZÉV2019-0336,0,GYE,09.10,,1,09.16,,P18181 / M16291,CNC Bakony,EPA-320 (TNL100AHD),Hidraulika csatlakozók,,
SZÉV2019-0337,0,IMP,09.10,1,0,02.20,,M07272,KM CNC,EmL-1020D,EmL-1020 főorsó felújítás,,"FIZETENDŐ - Pannon - RENDELÉS - SZR201903569 - SZÉV2019-0337 - EmL-1020 főorsó felújítás 09.16.
10.03. BD: csapágyak, O-gyűrűk bejöttek
10.03. Hátralék: főorsó szíjtárcsa 5GT 57 fog IMPORT"
SZÉV2019-0338,1,IMP,09.10,,0,,,M14324,IQ Kecskemét,MM760 5TT,GSA CNCT-100 kéttengelyes körasztal,Igény: árajánlat billenő tengely bronz csigakerekére + csigatengelyre (tilting axis repair kit),
SZÉV2019-0339,1,IMP,09.11,,1,,,M14251,Debreceni Mechanikai Művek Kft.,HT-76,HT-76 szegnyereg olajcső,"Igény: 2 db szegnyereg kenőolaj cső, cső teljes hossza: 4,2 méter, külső átmérő: 10 mm, kép szerinti szerelvényekkel, csatlakozásokkal",
SZÉV2019-0340,0,BABETT,09.12,,0,09.28,,-,Esztergomi Szerszámgépgyár,Baumüller DS-100,Baumüller DS100,Igény: árajánlat 1 db első pajzsra,09.28. BD: az ügyfél nem kéri az alkatrészt
SZÉV2019-0341,0,LOG,09.12,,0,11.14,,M15093,VAMAV,Sínfúró gép,NCT Ai70Z1 motor,,SZÉV raktár
SZÉV2019-0342,0,IMP,09.12,,0,,,M10295,S.C.OTELURI SI DEBITARI S.R.L.,EmL-510,EmL-510 szerszámcserélő kar,Igény: Árajánlat 1 db komplett szerszámcserélő karra,
SZÉV2019-0343,1,BABETT,09.12,,1,,,M18043/P18143,Pi-Dental,TNL-100ADT,Baruffaldi TBMA-160 szerszámtárcsa,Igény: Árajánlat 1 db szerszámtartó tárcsára (tool turret disc),
SZÉV2019-0344,1,IMP,09.13,,0,,,-,SZÉV,KAFO CV7A,KAFO CV-7A alkatrészek,"Igény: részletes parts list és gépkönyv, különös tekintettel a főorsó, golyósorsó, levegő- és hidraulika rendszerre",
SZÉV2019-0345,1,BABETT,09.13,,1,,,M14332,Csaba-Berényi,BNC-2680,Baruffaldi TBMA-200 pozícionáló dió,Igény: Árajánlat 1 db képen látható pozícionáló csapra. Sürgős!,
SZÉV2019-0346,0,"GYE
SZÉV",09.16,,0,12.03,BET2019/05404,M18043/P18143,Pi-Dental,TNL-100ADT,Walrus TPK4T5-5 szivattyú,,11.15. Merülési mélység tisztázandó
SZÉV2019-0347,0,GYE,09.17,,0,09.25,,M17188/P18004,Metarad,VD-510S,VD-510S 20.000 rpm főorsó javítás,"Csapágyak (min. 20.000-et tudó):
- 4 db 5S-7008UC GD2/GLP4
Tányérrugók:
- 56(+56) db 12.00x28.00x1.50","09.25. BD: rugók, csapágyak bejöttek"
SZÉV2019-0348,0,"GYE
SA",09.17,,0,10.09,,-,SZÉV,-,HPB VM132S forgórész felújítás,"Igény: 1 db forgórész tengelyvég felszóratása, köszörülése, jeladó tengelyvég újbóli kialakítása HPB VM132L rajzi utasításhoz hasonlóan",10.09. BD: visszakaptuk
SZÉV2019-0349,0,IMP,09.17,,0,12.03,2019/1191,M18250,Königin-Trade Kft.,JCL-75YABMs,Szorítóék Lio Shing revfej,Igény: 5 db szerszám szorítóékre árajánlat,
SZÉV2019-0350,0,"GYE
SA",09.19,1,1,,,,SZÉV,Euroturn-12C,Euroturn-12C főorsó anya,"[30] 200067210 - Rögzítőanya - az anya menete rossz, nem lehet rátekerni a főorsóra
[32] 1 db Csapágyanya ZM80 (M80x2) SKF - hiányzik",11.11. főorsó legvégéről viszont az egyedileg gyártott orsóanya hiányzik - Az orsóanya le lett gyártva. 00-20006721-00 - 2db - S.A. 12.20.
SZÉV2019-0351,0,GYE,09.19,0,0,10.03,,M17110,Hanon Systems,EmL-510,EmL-510 főorsó javítás,Igény: Árajánlat 4 db NSK 7012CTYNSULP4 csapágyra vagy ezzel megegyezőre,"FIZETENDŐ - Pannon - RENDELÉS - SZR201903673 - SZÉV2019-0351 - M17110 EmL-510 - orsócsapágyak 09.23.
10.03. BD: csapágyak bejöttek, köszönjük!"
SZÉV2019-0352,0,GYE,09.23,,0,10.15,,M16106,Marton CNC,EmL-610B,HPB VM100L főmotor javítás,"- 1 db NTN 5S-6207M8C3P5
- 1 db NTN 6308T2X5C3P5
","09.23. IJ: Kérlek nézd meg a csapágyak gyártóját ,utójeleit,és hogy ZZ-s,vagy VV-s.
Amennyiben nyitott akkor nincs gond,ha tömített akkor speciálisat kell keresni.
Az NSK T1X (ZZ),(VV), 6207/131001/p,6308/108001/p.
TYA kosárkialakítással 115%-al emelhető a határfordulat.
10.15. BD: beérkeztek a csapágyak"
SZÉV2019-0353,0,Babett,09.24,0,0,10.15,,M15245,DENDRIT,Kondia B640,AT10-730x32 szíj,,BD: 10 db szíjat kaptunk
SZÉV2019-0354,0,GYE,09.24,,0,09.26,,M14248,Elektro-Fer-Vill,MM-1000,Rotex kuplung,"Szükségünk van 1 db Rotex kuplungra.
D=65 mm
d1=25 mm
d2=35 mm
L=90 mm",
SZÉV2019-0355,0,IMP,09.24,,0,10.09,BET2020/03252,-,SZÉV,Mindman MACP-300L,Mindman levegőelőkészítő csészék,,
SZÉV2019-0356,x,GYE,09.26,,0,,,M08130,Magyarmet,EmL-510,695-5GT főorsó szíj,,
SZÉV2019-0357,0,IMP,09.27,,0,07.20,,-,Magyarmet,Kafo SV-1000,KAFO Vizipisztoly,,
SZÉV2019-0358,X,GYE,09.27,,0,,,M11298,Elektro-Fer-Vill,MM-800,Cells 10.000 rpm főorsó csapágyazás,,"o-gyűrűk megrendelve, csapágyak árajánlata kiküldve az ügyfélnek...
DÓRI?"
SZÉV2019-0359,0,GYE,09.28,,0,10.03,,M18184/P18083,Momert Zrt.,EPA-320,EPA-320 Mellékhajtás és jeladó szíjak,"Főhajtás: 
1 db Poly-V PL 1715 mm 20 borda - 30.016,- HUF + áfa beszerzési ár
1 db poly-V PL 1841 mm 12 borda - 19.396,- HUF + áfa beszerzési ár","09.30. Power Belt - BELSŐ RENDELÉS - SZR201903770 - SZÉV2019-0359 - EPA-320 - Mellékhajtás és jeladó szíjak

SZÉV ment érte"
SZÉV2019-0360,0,IMP,09.28,,0,11.18,,M17188/P18004,Metarad,VD-510S,Főorsó keresztcsap,Igény: 5 db keresztcsap a főorsó végébe,11.18. BD: beérkezett
SZÉV2019-0361,1,BABETT,09.28,,1,,,M08086,Javel-Inn,S-280,Sauter revfej dió,,
SZÉV2019-0362,1,LOG,09.28,,0,,,-,SZÉV,-,Tárolódobozok raktárba,,
SZÉV2019-0363,0, IMP,09.28,,0,,,M12024,LAMI 2003 Kft.,MM-760,MM-760 Y első harmónika,,
SZÉV2019-0364,0,"GYE
EG",09.30,,0,10.24,,,Schneider,Tomill,Biztonsági üveg,2 db biztonsági üveg,
SZÉV2019-0365,0,IMP,09.30,,0,01.09,,M18214,Hydro Extrusion Kft.,EM-1500,X szánvédő burkolat,,01.09. Beérkezett
SZÉV2019-0366,0,GYE,10.02,,1,10.09,,M13116,LAFÉM Bt,SC-32,Munkadarab elkapó ajtózsanér,,"EG: Dóri? Meg tudtad oldani?
LR: Az Ügyfél megoldotta a problémáját, köszöni a segítséget, nem kell vele foglalkozni."
SZÉV2019-0367,X,GYE,10.02,,0,,,M16166,Magyarmet,KAFO SV-1000,Folyadékelosztó tömb,"Igény: árajánlat 1 db, csatolt rajzon látható alkatrész legyártására",BD: Még nem rendelte meg az Ügyfél.
SZÉV2019-0368,0,GYE,10.03,,0,10.15,,M08100,Le Belier,WHN-9B,Siemens motor csapágyak,Igény: 2 db NTN TS2-6210T2XC4PX8,BD: beérkeztek
SZÉV2019-0369,0,IMP,10.03,,0,12.06,,M16167,T-NC Technika,KAFO SV-1000,Csészebillentő munkahenger,Igény: árajánlat 3 db [5] MR4AK0005F01-T-10 Pneumatic cylinder (csészebillentő munkahengerre) a szerszámtárba,12.06. BD: beérkezett
SZÉV2019-0370,x,"GYE
EG",10.04,,x,12.07,,M17227/P18036,MWT Technology Kft.,KFO-650DD,Parker 30 baros fém szűrőbetét,Igény: 1+5 db Parker 936712Q FÉMhálós szűrőbetét,1207. Import igény elindítva komplett szűrőházra és betétre ebben a levelezésben: SZÉV2019-0450 Parker nagynyomású víz egység
SZÉV2019-0371,0,"GYE
SA",10.04,,0,12.03,,,Frank Hungária,,locline csövek,"locline cső: 6 db 12 kék szegmensből álló cső, ha a csatlakozó menetnél rámérnek, akkor 16-ot mérnek. Köralakú szórófejekkel kérik mind a hatot, lehetőleg 2-2-2 db-ot kérnek mindegyik szórófejből. Kérik hozzá a 6 db menetes csatlakozót is.",12.03. BD: beérkezett
SZÉV2019-0372,0,"GYE
SA",10.04,,1,,,,ISD Dunaferr,Miniturn,védőplexi,,"2019/000001183 
dec. 2"
SZÉV2019-0373,1,BABETT,10.07,,0,,,M030050,Somapak Kft,TUR630,TUR630 eszterga főorsó rajz,,
SZÉV2019-0374,1,IMP,10.07,,1,,,M14004,First-Tech,EMP-700M,EMP-700M Z burkolat,"Igény: Árajánlat 1 db ""Z"" tengely védőburkolatra [9] VF700-C011A - Z Axis cover",
SZÉV2019-0375,0,IMP,10.07,,0,04.30,,-,Plastic-Form,Kondia A6,Kondia A6 X golyósorsó,"Igény: Árajánlat 1 db ""X"" golyósorsóra [B50-1101]",
SZÉV2019-0376,0,LOG,10.07,,0,12.14,,-,SZÉV,-,Intercontec fogó + tartozékok,,12.14. BD: beérkezett
SZÉV2019-0377,0,"GYE
SA",10.08,,1,10.10,,M11253,Primaró,Smart-42,Elkapó munkahenger,,"10.10. Beérkezett! A SZÉV átvette személyesen, a számlát a könyvelésre adták!
"
SZÉV2019-0378,0,"GYE
SA",10.08,,0,12.03,2019/000001184,M11036,GRIF-TOOLS KFT,EmL-1020E,"20db - 10-00006929-00,Tartalék / Szerszámtartó zsebek esernyős szerszámcserélőhöz / SK40/ DIN40",,
SZÉV2019-0379,0,GYE,10.09,,0,10.15,2019/000000979,M15115,GÖMBÖLYÍTŐ,SC-32,"50BAR nyomásgomba, átfolyás érzékelő",e-mailben mentek képek,
SZÉV2019-0380,0,GYE,10.09,,0,10.15,"2019/000000978
2019/000001012
",M14093,Unitool-Plastik,EmR-1020D,AiS100 főmotor tartozékok,"Igény: 
Adrián:
1 db Deublin 1109-020-188, 
1 db Rotex GS38 + kuplung kereszt zöld, 
1+1 db vízátvezető AiS100-ashoz (egy másikból is hiányzik, azért a 2 db)
1+1 db kötődoboz tartó L-vas

Erika:
1+1 db Csatári kötődoboz 150x150 AiS100-ashoz",10.24. BD: bejött minden
SZÉV2019-0381,0,BABETT,10.10,,0,12.17,,-,Vivber Kft.,Kondia HM-1060,Szerszámtár tartókonzol,"Igény: 1 db szerszámtár tartókonzol, 18+4 db szerszámtartó zseb csillapító betét (B-3105 Spring Support Rubber?)",12.17 BD: beérkezett
SZÉV2019-0382,0,GYE,10.10,,0,10.24,,-,Nivelco,SLT-320,Motortartólap átmunkálás,"Igény: 1 db motortartólap átmunkálás, 1 db szíjtárcsa, 1 db gyűrű",10.24. 1 db gyűrű bejött
SZÉV2019-0383,0,GYE,10.11,,0,10.16,2019/988,M14093,Unitool-Plastik,EmR-1020D,AiS100 15.000 csapágyak,,10.18. BD: bejöttek
SZÉV2019-0384,0,"GYE
EG",10.11,,0,11.26,,M09033,Consystec (Babits MACH-TECH),JSL-32ABMs,Levegős kompakt munkahenger,Munkahenger cikkszáma: 10-10006008-00,"Hafner - SOS RENDELÉS - SZR201904288 - SZÉV2019-0384 - JSL-32 - Levegős kompakt munkahenger
11.27. -re várható"
SZÉV2019-0385,1,IMP,10.11,,0,,,M17064,Caadex,KAFO KMC-5135,Kafo szögfej alkatrészek,,
SZÉV2019-0386,0,ERIKA,10.14,,0,10.15,,-,SZÉV,-,Harting alkatrészek 2019.10.14.,,BD: beérkeztek
SZÉV2019-0387,1,"GYE
IMP
SA",10.14,,1,,,-,SZÉV,-,Főorsók SZÉV raktárra,,
SZÉV2019-0388,0,IMP,10.15,,0,03.20,,-,SZÉV,-,Mérőeszközök SZÉV,,
SZÉV2019-0389,0,GYE,09.24,,1,10.15,,M18302,ASG Vízgép,SV-1000,"1,5 m víztömlő, 26-os belső átmérővel
1 db mechanikus ajtóretesz (lásd: csatolt kép)
 vízszelep (kisebbik)",,
SZÉV2019-0390,1,"GYE
SA",10.16,,0,,,,KM CNC,,"""T"" kenéselosztóra 3 db 1/8""-os belső menettel, 5 db-ra, holnapra",,"10.16. SA: Beküldök egy darabot! A többit intézem.
S.A. 12.20. Rendelek az Optimittől 10db TBBBF-B18 1/8"" belső menetes T elosztót, amibe majd ilyen igényeknél olyan kenés csatlakozót rakunk,amit akarunk. http://www.optimit.hu/termek/tidom-fix-belsobelsobelso-bspbspbsp - JANUÁRBAN VÁRHATÓ  
"
SZÉV2019-0391,1,IMP,10.17,,1,,,-,SZÉV,-,"VL-1000 8YU és 5GT szíjtárcsák főorsó, főmotor",,
SZÉV2019-0392,1,IMP,10.17,,0,,,M05081,Holes Kft.,TNL-130AL,TNL munkatérbeli forgácsvédő függöny,Igény: 1 db forgácsvédő függöny (a szegnyereg mögött/mellett),
SZÉV2019-0393,1,IMP,10.17,,1,,,M09149,Kokilla Prec,MM-800,Szerszámcserélő karforgató motor,"Igény: 1 db szerszámcserélő karforgató motor 220V/50Hz/ 0.56 kW, rpm 1390/3.4A",
SZÉV2019-0394,0,GYE,10.25,,0,12.03,"2019/000001075
2019/000001182",,SZÉV,,Vízszelepek,"- 2 db 10-01000175-00Mágnesszelep vízhez BB 1/2""-os menettel + ZB10A mágnes + stekker
- 1 db 10-01000251-00Mágnesszelep vízhez BB 3/4""-os menettel + ZB10A mágnes + stekker","HÁTRALÉK SA
12.03. hátralék is bejött"
SZÉV2019-0395,0,GYE,10.28,,1,11.19,,,Plastic-Form,Kondia A6,Kondia A6 golyósorsó csapágyak,"6 db RHP gyártmányú BSB 025062 2TB HP3 golyósorsó csapágy, 2 db SPIETH MSR M25x1.5 orsóanya","Csapágy már bekerült 11.05.
Pannon - RENDELÉS - SZR201904244 - SZÉV2019-0395 - Kondia A6 - Csapágyanya 11.14. fizettük"
SZÉV2019-0396,0,IMP,10.28,,0,06.03,,M12071,Metarad,VD-510S,"VD-510S ""Z"" tengely védőburkolat",,
SZÉV2019-0397,0,GYE,10.29,,0,11.07,2019/000001070,M15232,Metarad,VD-510S-5AX,VD-510S főorsó felújítás,"- 4 db FAG HCS7008-C-T-P4S-UL
- 56 db 12.00x28.00x1.50
- 1(+10) db 1/8""-os 90°-os levegőcsatlakozó 8-as",11.07. BD: minden beérkezett
SZÉV2019-0398,0,GYE,10.29,,0,11.11,,M15253,MVM Ovit,EPA-320,EVIG főmotor szíjtárcsa gyártás,,
SZÉV2019-0399,0,GYE,10.29,,0,11.06,2019/000001070,-,Biotech Hungary,Kondia B640,Forgóátvezető Kondiához,,"11.06. BD: megkaptuk, köszönjük"
SZÉV2019-0400,1,"SZÉV
BD",10.29,,1,,,-,SZÉV,-,VMA kuplungok,,EZ 11.15. EG MI?
SZÉV2019-0401,1,IMP,10.30,,1,,,M17169,Yonix Trade,EmL-800B,Y vezetékvédő burkolat görgő,,
SZÉV2019-0402,0,GYE,10.30,,0,,2019/000001070,M17182,Dantom Kft.,EmL-800B,EmL-800 vízszűrő 20 bar-os nyomáshoz,,
SZÉV2019-0403,1,IMP,10.30,,0,,,-,Unimodul,-,Öntisztító forgóablak,,
SZÉV2019-0404,1,IMP,10.30,,1,,,M11120,Petrus,EmR-1200D,Szánvédő burkolat tömítés,,
SZÉV2019-0405,1,IMP,10.30,,1,,,M07188,Marostech,TNL-85ADT,TNL-85 ablaküveg,,
SZÉV2019-0406,1,LOG,11.04,,1,,,-,Rampf Formen,EEN-400,Siemens motor felújítás,,
SZÉV2019-0407,0,GYE,11.04,,0,11.08,,-,SZÉV,-,Menetreszelő,,11.08. BD: beérkezett
SZÉV2019-0408,1,IMP,11.04,,1,,,M11258,FSA,LT-52DT,Tokmány + pofák,"Igény: technikai adatok legnagyobb tokmányról, ill. befogható munkadarab méretekről ennél a konkrét gépnél (átmérők, kinyúlás, súly, stb.)",
SZÉV2019-0409,0,BABETT,11.05,,0,11.06,,-,Biotech Hungary,Kondia B640,Kondia B640 szíjtárcsák,Igény: Árajánlat 2 db [B50-4008] és 3 db [B50-4022] szíjtárcsákra,11.12. BD: túl drága importból a jeladó tárcsa
SZÉV2019-0410,0,"GYE
SA",11.05,,0,,"2019/000001180
",-,SZÉV,-,Hidraulika / Nyomáskapcsoló gomba + gumisapka,"Hidraulika / Nyomáskapcsoló gomba 1-10 BAR D=1/4"" (0166-407-03-1-027) olajgomba,10-00002431-00 - 8db
Hidraulika / Nyomáskapcsoló gomba 10-20 BAR D=1/4"" (0166-411-03-1-043) olajgomba,10-00002433-00 - 8db
Hidraulika / Nyomáskapcsoló gomba gumisapka  0166-hoz (1-1-66-621-010),10-00002432-00 - 16db+16db réz alátét","Ha megkaptuk, postázni a Ceresz 2000 Bt-nek 2 db nyomáskapcsolót 10-20 baros méréstartományút, M10x1-es menettel!Ha szükséges vágja rá Peti bá a  menetet!A gumiharang és a réz alátét se maradjon ki a csomagból - ezek alaptartozékok."
SZÉV2019-0411,0,GYE,11.05,12.31,0,12.03,2019/000001075,-,Biotech Hungary,Kondia B640,Kondia 6.000 rpm főorsó felújítás,"- Orsó menesztődiók (rajzok alapján gyártatni, az eredetiek sérültek)
- Deublin 1109-020-188 bordás forgóátvezető (SZÉV2019-0399 IGÉNY)
- 1 pár NSK 7012CTRDULP4C3 v. FAG B7012CTP4SUL
- 1 pár NSK 7014CTRDULP4C3 v. FAG B7014CTP4SUL","Tral Trade - RENDELÉS - SZR201904368 - SZÉV2019-0411 Kondia B640 - Főorsó felújítás - Orsócsapágyak FIZETENDŐ
Juhász - RENDELÉS - SZR201904366 - SZÉV2019-0411 Kondia B640 - Főorsó felújítás - Főorsó menesztődió 1-2 + Raktár
Deublin bekerült 11.05."
SZÉV2019-0412,0,GYE,11.06,,1,11.15,,M17206,TLC BF Invest Kft,MAHO - MH-C 900,Maho-Z-hajtás-átépítés,,
SZÉV2019-0413,0,IMP,11.06,,0,,,M17148/P18068,Jandem Kft.,Smart S8,Smart levegőelőkészítő egység,,
SZÉV2019-0414,0,"GYE
LOG",10.22,,0,11.27,,M18041/P18042;M11299,Mobilinter (Variatrade International Kft.),EmR-1020D,Mobilinter AiS100 10.000 rpm javítás,,"Deublin bekerül 10.24.
FÉMÓ csapágy kell; ferde hatásvonalú"
SZÉV2019-0415,0,GYE,10.22,,0,11.11,,M11036,Grif-Tools,EmL-1020E,Főorsó 8.000 rpm javítás,,
SZÉV2019-0416,0,"GYE
LOG",10.22,,1,11.27,,M11075,Steelforg,EmR-1020D,Steelforg AiS100 15.000 rpm javítás,,"Deublin bekerül 10.24.
FÉMÓ csapágy kell; ferde hatásvonalú"
SZÉV2019-0417,1,IMP,11.04,,0,,,M14066,BIOTECH,DK-7732F,SZÉV tartalék huzal alaktrész,,
SZÉV2019-0418,0,GYE,11.11,,1,11.15,,M15086 ,Industriebedarf Krüger,HG-400 (V.)HG-400 (V.)(006)HG-400 III PALETTA POOL,Krüger HG-400 munkahenger javítás,,Beküldtünk hozzá mindent
SZÉV2019-0419,1,IMP,11.12,,0,,,M07361/M18020,Petrus,TMV-850A,TMV-850 Z szánvédő burkolat,,
SZÉV2019-0420,0,IMP,11.12,,0,01.09,,M14247,Procam MŰSZAKI ÉS FEJLESZTŐ KFT PMP,MM-1000S,MM-800/1000 szíjtárcsák,,01.09. BD: beérkezett minden
SZÉV2019-0421,0,GYE,11.12,,0,11.13,2019/1098,-,SZÉV,-,Szűrőbetét rozsdamentes acél 90 (Hydra 90-hez) -10db,WD cikkszám: 10-10005449-00,
SZÉV2019-0422,0,GYE,11.12,,0,11.13,,-,SZÉV,-,Csigafúrók,"Igény: HSS csigafúrókból a következő méretek
1 db Ø1.00 mm, 
1 db Ø1.50 mm, 
1 db Ø3.00 mm, 
1 db Ø3.30 mm,
1 db Ø4.20 mm",
SZÉV2019-0423,0,GYE,11.13,,1,11.14,,M06045,Elektronis,TNL-120ADT,TBMA revfej járatáshoz hidraulika szerelvények,,
SZÉV2019-0424,0,GYE,11.13,,0,11.19,2019/000001125,M16286,SGN Steel,EmR-1604D,EmR-1600 főorsó felújítás,"Igény: 4 db 10-00004027-00 Csapágy / HS7014-C-T-P4S-UL orsócsapágy   FAG, 1 db szerszámoldó munkahenger felújítás Bétabagoly (kiküldjük Taksonyba, munkahenger javítás nettó beszerzési ára 68660 Ft)","11.15.
csapágy Taksony rakt.
Fabory - RENDELÉS - SZÉV2019-0424 - EmR-1604D Főorsó tányérrugók
munkahenger - Bétabagoly"
SZÉV2019-0425,0,GYE EG,11.14,,0,,,-,SZÉV,-,Vízmértékek szervizbe,,
SZÉV2019-0426,0,GYE,11.14,,0,11.26,,M08321,Biotech,Kondia B640,Kondia jeladó szíjtárcsa gyártás,Szíjtárcsa rajzszáma: 70049882-00,"11.15.
Power Belt - SOS RENDELÉS - SZR201904400 - SZÉV2019-0426 Kondia B640 - Szíjvezető perem
N+K szíjtárcsa megmunklás
Csa-Ta szíjtárcsa vésés"
SZÉV2019-0427,0,GYE SA,11.14,,0,12.03,2019/1181,-,Bíró Kft. ,-,Vizipisztoly - 5 db,"ha megjött, Bírónak jelezni - 2 db kell neki, 2 db megérkezett 11.15.",12.03. BD: beérkezett
SZÉV2019-0428,0,IMP,11.14,,0,12.18,,M15069,SPH Plusz,TCS-2000DT,Hidraulika mágnesszelep,,12.18. BD: beérkeztek
SZÉV2019-0429,1,IMP,11.14,,1,,,M06151,Huszár Szerszámkészítő Kft.,TMV-1600A,"TMV-1600 ""Y"" vezetékvédő burkolat",,
SZÉV2019-0430,0,GYE EG,11.15,,0,12.03,2019/000001185,M16017,Profimill,EmL-610B,Profimill CTS szűrő kiváltás nagyobbra,Igény: 1 db komplett Parker 40CN2/20Q szűrőház (szűrőbetétünk van hozzá),12.03. BD beérkezett
SZÉV2019-0431,1,IMP,11.15,,0,,,M11008,VT-Asyst,BNC-446,BNC-446 tokmány,,
SZÉV2019-0432,0,GYE,11.15,,0,11.27,,M14289,Procam Műszaki és Fejlesztő Kft,Deckel DC100V,Szerszámtár mozgató munkahenger felújítás,,11.27. BD: visszakaptuk a munkahengereket (Bétabagoly - munkahenger javítás nettó beszerzési ára 14500 Ft/db)
SZÉV2019-0433,0,GYE,11.15,,1,11.27,2019/000001188,,Manz,Kondia B-640,Rotex kuplung,,
SZÉV2019-0434,0,IMP,11.15,,0,12.14,,M13167,Magyarmet,HT-92DT,Nagynyomású szivattyú,árajánlat 1 db EALY VOP-220-F-RV-C nagynyomású szivattyúegységre,
SZÉV2019-0435,1,GYE EG SA,11.18,,0,12.03,,M14249,Doroti Pack,EmL-510 (MM800),MM800 hibalista,"1. Igény: 1 db [10-00016175-00] Rotoflux A08-1501-05L forgó átvezető + visszacsapó szelep, 1 db útváltó szelep 12,5
2. Igény: 1 db [10-00002612-00] Deublin 902-120-188",Rotoflux van hátra
SZÉV2019-0436,0,GYE,11.20,,0,11.27,2019/000001160,-,SZÉV,-,Csapágyigény 2019.11.20.,"10 db [10-10001875-00] Csapágy / NSK 30 TAC 62 CSUHPN7C ferdehatásvonalú golyóscsapágy
2 db [10-00037409-00] Csapágy / 6003 C3 2RSR FAG
2 db [10-00005542-00] Csapágy / 6206 ZZC3
1 db [10-00005544-00] Csapágy / 6207 ZZC3
2 db 61903 (nyitott, nem tömített)",11.27. BD: beérkeztek
SZÉV2019-0437,1,IMP,11.20,,0,,,M19047,KÖNIGIN TRADE KFT,CHMER G43 huzalszikra ,ioncserélt gyanta,árajánlat kellene,
SZÉV2019-0438,0,IMP,11.21,,0,02.10,,-,SZÉV,-,"Royal főorsó menesztődiók, csipeszek",,02.10. beérkeztek
SZÉV2019-0439,0,GYE,11.21,,0,11.26,2019/000001153,-,CNC Automatizari,-,piros csillag kuplunghoz,csatolt képek-méretek mailben,
SZÉV2019-0440,0,BABETT,11.21,,0,,,M15188,PEMÜ Zrt,Deckel FP3NC,Deckel szerszámoldás golyóskosár,,
SZÉV2019-0441,0,GYE SA,11.22,,0,,,M15042,Auth Impex,TCS-2000L,Nyomásmérő óra,"1 db 0-70 bar SKUN nyomásmérő óra, hátsó kivezetésű",
SZÉV2019-0442,0,GYE EG,11.25,,1,,,M13206,Krüger,HG-400III,Krüger HG-400 asztal javítás,,
