Iktatószám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2019-0253,0,GYE,06.19,,1,,,M12317,First-Tech Kft.,TB-20YAMS,First-Tech AMS180 motororsó,"Igény: 1 db FAG N1022-K-M1-SP, 2 db FAG B7026-E-T-P4S-UL",
SZÉV2019-0254,0,GYE,06.20,,1,,,-,H.O.W. Project Kft.,EEN-320,BA-150L revfej alkatrészek,"Igény: Árajánlat a következőkre
2 db [3.] - Tárcsakapcsoló elem ""K"" BS 1x224K EBE
2 db [26.] - Mikrokapcsoló ""H"" 5.SE-1    Honeywell
          és kapcsolókar JE-1              Honeywell",06.24. Szimikron - ÁRAJÁNLATKÉRÉS-SZÉV2019-0254 Igény - BA-150 revfej alkatrészek
SZÉV2019-0255,0,GYE,06.20,,1,06.20,,M14247,PROCAM MŰSZAKI ÉS FEJLESZTŐ KFT PMP,MM-1000S,Főorsó szíj 775-5GT-40,06.20. BD: beérkezett,
SZÉV2019-0256,0,GYE,06.20,1,0,08.15,,,Bombardier,BFKF8-150/1,Hidralukikus akkumulátor csere,"HYDAC - Hidaulikus akkumulátor
Bétabagoly - 08.05.-08.15. között kell felszerni!",06.20. Hydac - SOS RENDELÉS - SZR201902368 - SZÉV2019-0256 - BFKF8-150/1 - Hidraulikus akkumulátor
SZÉV2019-0257,0,IMP,06.21,,0,07.22,,M18097/P18195,KA-SPAN Kft.,KAFO CV-7A,Orsó olajködkenés, Árajánlat 1+1 db LUBE AMZ III főorsó ködkenés kenőtápra (Code: 285036),07.30. BD: kenőtáp beérkezett
SZÉV2019-0258,0,GYE,06.21,,1,,,M08125,Metálplaszt Kft.,EmL-610,EmL-610 levegőelőkészítő egység,"1 db komplett levegőelőkészítő egység, csatolt kép szerint",
SZÉV2019-0259,0,GYE,06.24,,1,09.16,,M17171/P18053,Dr Varga EV,SC-32,Festo mágneses tolórúd,Igény: 1 db FESTO DGO-25-1300-PPV-A-B mágneses tolórúd (pmax: 7bar/105psi),
SZÉV2019-0260,0,GYE,06.25,,0,07.27,2019/000000530,,Losonczi,Nimatic 2430 olajleválasztó,olajleválasztó szalag -2db,SOS,
SZÉV2019-0261,0,GYE,06.26,,1,,,M11074,SC VIVA COM SRL,MM760,behúzó csipesz (4db/szett),SK40,
SZÉV2019-0262,0,GYE,06.27,,1,,,M10119,K-KART spol. s.r.o.,EmR-1200D-CNC,12DB 30TAC csapágy,SOS,
SZÉV2019-0263,0,GYE,06.27,,1,07.27,BET2019/02862,M15232,METARAD CNC KFT,VD-510S-5AX,Főmotor csapágyak,2 db 6205 SN24 C3 P5 20.000 fordulatú,
SZÉV2019-0264,0,GYE,06.27,,1,07.03,2019/000000547,M15232,METARAD CNC KFT,VD-510S-5AX,Főorsó csapágyak,árajánlatot és szállítási határidőt kérünk,
