SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-288,TRUE,IMP,10.18.,,0,08.22.,BET2024/02732,M04205,GYURÓ TECHNIK KFT.,TNL-100AL2,"80205-032006 Csapágy 32006X 1 db
80614-160030 Csapágyanya AN06 2 db 
80615-000030 Biztosító alátét AW06 2 db
80608-01005 Acélgolyó 5/8"" 1 db
400420418111 Rugó 1 db 
80205-032007 Csapágy 32007X 1 db 
005010050200 Retesz 1 db 
300410718040 Tengely 1 db 
80732-100035 O-gyűrű P-35 1 db 
80740-805002 Tömítés DS50624 1 db 
80740-008045 Tömítés SER-45 1 db 
400420418171 Hernyó csavar 2 db",Szerszámbemérő alkatrészek,,HA
SZÉV2023-289,TRUE,GYE,10.18.,,,10.25,,M20171,DENDRIT MENTOR ,MXS-400DD,"10-00007764-00,Szalagos olajleválasztóhoz szalag, 600mm (3L/h teljesítményű)",Méret: 29mmx600mm,,CsZ
SZÉV2023-290,TRUE,GYE,10.19.,,0,11.09.,,M08048,POLIOL PET PACKAGING KFT.,EmL-610,"10-00020113-00,Tartalék / VL-610 / Ajtózár  (S021-SNA281-2)",,,CsZ
SZÉV2023-291,TRUE,GYE,10.19.,,0,11.09.,,M08134,POLIOL PET PACKAGING KFT.,EML-510,ajtókulcs,,,CsZ
SZÉV2023-292,TRUE,GYE,10.19.,,0,11.04.,"BET2023/03622 
BET2023/03623",M13367,MVM NUKA ZRT,W-100,"Y csapágyak
2 db támcsapágy: D=68 | d=41,7 / 40 | H=19
3 db hengergörgős csapágy: H.C.DURKOPP D=62 | d=40 | H=20","A csapágyakon nem volt semmilyen típusjelzés, csak a méreteit tudjuk megadni. A gép a primer körben van, össze kellett raknunk a meglévő csapágyakkal a további javításig.",,LR
SZÉV2023-293,TRUE,GYE,10.19.,,,,,M20171,DENDRIT MENTOR ,MXS-400DD,ablaküveg 920x640x12.5mm,,beküldve,
SZÉV2023-294,TRUE,GYE,10.20.,,,10.24,,,JUHÁSZ MŰHELY,,Szelep IS-2252,,,CsZ
SZÉV2023-295,TRUE,GYE,10.24.,,0,10.24.,2023/000000951,,SZÉV tartalék,,12 db 30TAC golyósorsó csapágy,,,LR
SZÉV2023-296,TRUE,GYE,10.26.,,,,,M11034,MECSOL BNT SRL ,TNL-100AHD,hajtott szerszám alkatrészek,,beküldve,HA
SZÉV2023-297,TRUE,Babett,10.26.,,,,,M14267,PROFIMASTER,MVI-1000,Walrus TPH4T3K szivattyú felújító készlet,,,LR
SZÉV2023-298,TRUE,GYE,10.30.,,1,,,M18231 P19108,DOROTI PACK,MM-850SS,X-tengely kenés elosztó tömb + adagolók,,beküldve,LR
SZÉV2023-299,FALSE,GYE,10.31.,,0,,,,DUNAROLLING (ISD DUNAFERR),KONDIA B-640,2 db Joucomatic 54191027 pneumatika szelep,,Ajánlatra nem jött válasz,LR
SZÉV2023-300,TRUE,GYE,11.06.,,0,,,M14252,KOKILLA PREC KFT.,HT-76,"10-10001170-00,Ablak / Biztonsági üveg ragasztott 670x730x15 (MM-1000, HT-52/76)",,,CsZ
SZÉV2023-301,TRUE,IMP,11.07.,,0,08.22.,BET2024/02732,M04181,GYOPÁR 2000 KFT.,TMV-510,"10-00002837-00,Műanyag villa a szerszámcserélőhöz (TMV-400, 100513322021)",5db,,CsZ
SZÉV2023-302,FALSE,LOG,11.07.,,0,,,M13373,GRIF-TOOLS KFT.,SC-32,"BAUMÜLLER / Ventilátor / A2D160-AB22-06,10-00027229-00",3db,,CsZ
SZÉV2023-303,TRUE,GYE,11.07.,,0,03.19.,,M18310,RICHTER GEDEON PHARMA-TOOL KFT.,EEN-320,"víztálca hiányzik, pótlására árajánlatot kérünk",,,CsZ
SZÉV2023-304,TRUE,GYE,11.07.,,1,11.20.,,M13049,MST ENGINEERING KFT,VFC-1600F ,"Főmotor: AiS132-LW 08-15, Smax 10.000",csapágyakat kérünk: első: 2db NSK 7209CTRDULP4 + hátsó: 1db 6207T1XZZ,,CsZ
SZÉV2023-305,TRUE,IMP,11.10.,,0,,,M14151,TECHSZERVIZ KFT,GU3260NC,"GU32X60 / Papírszűrő,10-00028824-00 - 3db",,,CsZ
SZÉV2023-306,TRUE,GYE,11.10.,,1,,,,CSABA METÁL,,Deublin 902-120-188,"1 db Csaba-Metál, 2 db SZÉV tartalék",,LR
SZÉV2023-307,FALSE,IMP,11.13.,,,,,M22025,EFT ÉS TÁRSAI SZERSZÁMÉLEZŐ ÉS GYÁRTÓ KFT.,SL-TURN-76 Y,Renishaw / HPPA kézi bemérőkar,10-00021358-00,,CsZ
SZÉV2023-308,TRUE,IMP,11.13.,,1,03.05.,,M14106,SCHÖN+SANDT H KFT.,Pinacho ST-180/1000,"Pragati BTP-50 revolverfej forgató motor TM-50 (3 fázisú, 4 pólusú, Y kapcsolás, 900 W, 1,3 A)",,,LR
SZÉV2023-309,FALSE,IMP,11.15.,,0,,,M10123,UNIFY KFT.,EmL-610B,"Hao Cheng 3,5 tonnás, 13 mm löketű erőfokozó",,,CsZ
SZÉV2023-310,FALSE,GYE,11.16.,,1,,,M22217,BEVISZ-DUO,EmR-1200SV,Deublin 902-120-188,1 db Bevisz-Duo,"A bevisznek 1109 kell.  EB00090        Spinex        1 095 032 Ft díjbekérőből fogjuk tudni kiszolgálni
",LR
SZÉV2023-311,TRUE,GYE,11.20.,,1,03.05.,,M22153,JE-ZO kft.,EEN-500,"Nyomórugó / 1,0 x 5,2 x 48 (26),10-10524826-00",12db,Farkas rugótól megrendelve. kb12.01 re lesz készen,CsZ
SZÉV2023-312,FALSE,IMP,11.21.,,1,,,M15173,VÁRDA VULKÁN KFT.,EmB-1605G,"tartományváltó munkahenger
Típusa: HINAKA DAL-50N70-006 (SCBS VH160H-037A)",1+1 db,,LR
SZÉV2023-313,TRUE,GYE,11.21.,,1,11.22.,,M11154,MAGYARMET KFT.,EMR-1020D,Ringfeder 40x45,6db,,CsZ
SZÉV2023-314,TRUE,GYE,11.21.,,0,01.20.,BET2025/00155,M15268,MST ENGINEERING KFT.,EmR-1304B,AirTac - GFR300-10  Levegő előkészítő csésze,5db,,CsZ
SZÉV2023-315,TRUE,GÉPÉSZ,11.23.,,0,03.05.,,,GYURÓ TECHNIK KFT.,TNL-100AL2,szerszámbemérő kar tengelye,1 db,,LR
SZÉV2023-316,TRUE,GÉPÉSZ,11.23.,,0,03.05.,,M10116,VARRIVÁL,VMC-1600F,főorsó menesztő diók,2 pár,,LR
SZÉV2023-317,TRUE,GYE,11.24.,,1,11.27.,,M07007+M07334,SOMAPAK KFT.,EmL-610,12 db 30TAC golyósorsó csapágy,X+Y tengelyek csapágyai,,CsZ
SZÉV2023-318,TRUE,ERA,11.24.,,0,11.30.,,,SZÉV tartalék,,"5db induktív 12NO, 3db mágneskapcsoló segédérintkező (1NC,3NO)",,,CsZ
SZÉV2023-319,TRUE,GYE,11.24.,,0,,,M22007,C3D MŰSZAKI TANÁCSADÓ KFT.,EML-1600SV,"10-10002924-00,Szűrő / F040DMD0015E20B  Szűrőbetét",5db,,CsZ
SZÉV2023-320,FALSE,IMP,11.27.,,0,,,M18134,CONTITECH FLUID AUTOMOTIVE HUNGÁRIA KFT.,BNC-446,MP-446 / teleszkópos burkolat lehúzó gumi csomag,10-00033787-00,,CsZ
SZÉV2023-321,FALSE,IMP,11.28.,,0,,,,SZÉV raktár,,"Tartalék / VL-510 / Hinaka szelep HNS523S-3BE,10-00027030-00",5db,,CsZ
SZÉV2023-322,TRUE,GYE,11.29.,,0,12.06.,,M11216,METÁL-CNC 2000 KFT.,EML-1020,"10-00005694-00,Tartalék / Szerszámcserélő motor 5RK60GN-CPTS,220V/1PH/60W (VL-610/Esernyős)",1db,,CsZ
SZÉV2023-323,TRUE,GYE,11.29.,,0,,,M06270,NIVELCO ZRT.,TNL-130ADT,Főorsó szíj: 2db - WR11MS/2180/3 borda ékszíj + 1db - L/420/13 mm,,,CsZ
SZÉV2023-324,TRUE,GYE,11.29.,,,03.05.,,M22153,JE-ZO kft.,EEN-500,"BA150L/BA200L  EBE tárcsás kapcsoló 44764-910003,10-00010376-00 + Kapcsolókar (Mikrokapcsoló)44764-910002,10-00007311-00 + Mikrokapcsoló 44764-910001,10-00007310-00",2-2-2db,,CsZ
SZÉV2023-325,TRUE,GYE,11.30.,,0,03.05.,,M14060,DENDRIT MENTOR,MM-760,30TAC golyósorsó csapágy,8db,,CsZ
SZÉV2023-326,TRUE,GYE,11.30.,,,12.01.,,,LOKO TRANS,,"YHB üveg forgácsszűrő betét (YMC és YOC-400) YMC-400-C/S-F00,10-00004145-00",2db,,CsZ
SZÉV2023-327,TRUE,GYE,11.30.,,1,12.01.,,M22052,SBS KFT.,KAFO-NCT RV-3122,pneumatikus nyomásszabályzó és nyomáskapcsoló kocka,1 db,,LR
SZÉV2023-328,TRUE,GYE,12.05.,,,09.20.,2024/1077,M20119,SB-MILL,TCS,munkadarab elkapó tengely,1 db,,LR
SZÉV2023-329,TRUE,GYE,12.08.,,1,03.05.,,M15003,MODUL-BAKE KFT.,BNC-1840,20 TAC 47 ferdehatásvonalú golyóscsapágy,8db,,CsZ
SZÉV2023-330,TRUE,GYE,12.08.,,0,03.05.,,M13098,STEELFORG,DK-7732F huzalszikra,4 db 7005CA csapágy (25x47x12),,,LR
SZÉV2023-331,TRUE,IMP,12.11.,,0,06.14.,,M16191,SOMAPAK KFT.,SOZHOU HQ703S,szíj árajánlat,"""hajtószíja elöregedett és elporladt""",,CsZ
SZÉV2023-332,TRUE,GYE,12.11.,,0,12.11.,,,SZÉV RAKTÁR,,Rúdadagoló rögzítő ,8 db,,ZM
SZÉV2023-333,TRUE,GYE,12.12.,,1,,,M14244,LITZE KFT,EMR-1020D,Forgóátvezető DEUBLIN 1109-023-212,1 db,,ZM
SZÉV2023-334,TRUE,GYE,12.12.,,0,12.18.,,M11373,TS HUNGÁRIA KFT.,BNC-26120,X tengely szíj HTD-5M-575-20,3db,,ZM
SZÉV2023-335,FALSE,IMP,12.13.,,0,,,M21019,AUTOLIV KFT.,AVEMAX SP-520,munka asztalt hosszirányban vezérlő hajtókar,,,CsZ
SZÉV2023-336,TRUE,IMP,12.13.,,0,02.28.,,M13123,MFS DEFENSE ZRT,BNC-446,Auto lube CESD-2L/220V kenőtáp,3db,,CsZ
SZÉV2023-337,TRUE,GYE,12.13.,,0,,,,MEISER FERROSTE KFT.,PROTH PSGS-4080AHR,7210DUL P4,4 db,Nem kérik,HA
SZÉV2023-338,TRUE,IMP,12.14.,,0,08.22.,BET2024/02732,M05081,MVM NUKA ZRT,TNL-130A, teljes szerszám bemérő kar,,,CsZ
SZÉV2023-339,TRUE,IMP,12.15.,,1,12.06.,BET2024/04186,M15268,MST,EmR-1304B,5 db 960-8YU-30 főorsó szíj,,,LR
SZÉV2023-340,TRUE,GYE,12.13.,,0,12.14.,,M16164,METARAD,KAFO NCT-CV-7A,125 PU CSIGACSŐ PÁRAELSZÍVÓHOZ,1 fm,,ZM
SZÉV2023-341,TRUE,GYE,12.13.,,0,12.18.,,P18004,METARAD,VD-510S,PÁRAELSZÍVÓ OLAJ VISSZAVEZETŐ CSŐ 19MM-ES BELSŐ ÁTMÉRŐ,5 fm,,ZM
SZÉV2023-342,TRUE,GYE,12.14.,,0,12.15.,,M15232,METARAD,VD-510S-5AX,582180-01 HDH CSATI,2 db,,ZM+LR
SZÉV2023-343,FALSE,Babett,12.15.,,1,,,19959,TRIMBLE HUNGARY KFT,TNL-130A-DT,TBMA 200 Revfej alkatrészek + újra is ajánlat,1 db,,ZM
SZÉV2023-344,TRUE,GYE,12.15.,,1,12.18.,"2023/0000001104
",M030044,METALCONSTRUCT ZRT.,KONDIA KB640,5M-550-9 szíj,1 +1 db,,ZM
SZÉV2023-345,FALSE,IMP,12.19.,,1,,,M20022,MST ENGINEERING KFT.,EmR-1304B,Szerszámcserélőkar. Egybe kar nem bontható. ISO 40-es. 610 mm a teljes hossza.,1+1 db,,ZM
SZÉV2023-346,TRUE,IMP,12.19.,,0,12.06.,BET2024/04184,M10141,KNK FÉMIPARI KFT,EmL-1020-B,Főorsó szíj - 870-5GT-30mm 10-00027259-00,5,,CsZ
SZÉV2023-347,TRUE,GÉPÉSZ,12.12.,,1,02.26.,,M13194,METAL-99 KFT.,McB-1604B,"""Y"" tengely orsó+motor 8YU szett átrajzolása 8M szettre Renével megbeszéltek szerint.",1 db,,ZM
SZÉV2023-348,FALSE,GYE,12.21.,,0,,,,SZÉV-Pál Ignác,,"Szilikon kinyomó pisztoly, erősebb kivitel.",1 db,,ZM
SZÉV2023-349,FALSE,IMP,12.21.,,1,,,M21002,VARRIVÁL,VMC-1600F,5MGT-1050-50 szíj,1+1 db,,ZM
SZÉV2023-350,FALSE,,,,,,,,,,,,,
SZÉV2023-351,FALSE,,,,,,,,,,,,,
SZÉV2023-352,FALSE,,,,,,,,,,,,,
SZÉV2023-353,FALSE,,,,,,,,,,,,,
SZÉV2023-354,FALSE,,,,,,,,,,,,,
SZÉV2023-355,FALSE,,,,,,,,,,,,,
SZÉV2023-356,FALSE,,,,,,,,,,,,,
SZÉV2023-357,FALSE,,,,,,,,,,,,,
SZÉV2023-358,FALSE,,,,,,,,,,,,,
SZÉV2023-359,FALSE,,,,,,,,,,,,,
SZÉV2023-360,FALSE,,,,,,,,,,,,,
SZÉV2023-361,FALSE,,,,,,,,,,,,,
SZÉV2023-362,FALSE,,,,,,,,,,,,,
SZÉV2023-363,FALSE,,,,,,,,,,,,,
SZÉV2023-364,FALSE,,,,,,,,,,,,,
SZÉV2023-365,FALSE,,,,,,,,,,,,,
SZÉV2023-366,FALSE,,,,,,,,,,,,,
SZÉV2023-367,FALSE,,,,,,,,,,,,,
SZÉV2023-368,FALSE,,,,,,,,,,,,,
SZÉV2023-369,FALSE,,,,,,,,,,,,,
SZÉV2023-370,FALSE,,,,,,,,,,,,,
SZÉV2023-371,FALSE,,,,,,,,,,,,,
SZÉV2023-372,FALSE,,,,,,,,,,,,,
SZÉV2023-373,FALSE,,,,,,,,,,,,,
SZÉV2023-374,FALSE,,,,,,,,,,,,,
SZÉV2023-375,FALSE,,,,,,,,,,,,,
SZÉV2023-376,FALSE,,,,,,,,,,,,,
SZÉV2023-377,FALSE,,,,,,,,,,,,,
SZÉV2023-378,FALSE,,,,,,,,,,,,,
SZÉV2023-379,FALSE,,,,,,,,,,,,,
SZÉV2023-380,FALSE,,,,,,,,,,,,,
SZÉV2023-381,FALSE,,,,,,,,,,,,,
SZÉV2023-382,FALSE,,,,,,,,,,,,,
SZÉV2023-383,FALSE,,,,,,,,,,,,,
SZÉV2023-384,FALSE,,,,,,,,,,,,,
SZÉV2023-385,FALSE,,,,,,,,,,,,,
SZÉV2023-386,FALSE,,,,,,,,,,,,,
SZÉV2023-387,FALSE,,,,,,,,,,,,,
SZÉV2023-388,FALSE,,,,,,,,,,,,,
SZÉV2023-389,FALSE,,,,,,,,,,,,,
SZÉV2023-390,FALSE,,,,,,,,,,,,,
SZÉV2023-391,FALSE,,,,,,,,,,,,,
SZÉV2023-392,FALSE,,,,,,,,,,,,,
SZÉV2023-393,FALSE,,,,,,,,,,,,,
SZÉV2023-394,FALSE,,,,,,,,,,,,,
SZÉV2023-395,FALSE,,,,,,,,,,,,,
SZÉV2023-396,FALSE,,,,,,,,,,,,,
SZÉV2023-397,FALSE,,,,,,,,,,,,,
SZÉV2023-398,FALSE,,,,,,,,,,,,,
SZÉV2023-399,FALSE,,,,,,,,,,,,,
SZÉV2023-400,FALSE,,,,,,,,,,,,,
