SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-197,TRUE,GYE,07.04.,,1,07.11.,,M15260,MST ENGINEERING KFT.,MM-760,3db SKF 7012CD/P4AQBCA csapágy,,Kapjuk ,DÁ
SZÉV2023-198,TRUE,GYE,07.04.,,,07.20.,,,SZÉV tartalék,,7012-es főorsó csapágyak ,,,DÁ
SZÉV2023-199,TRUE,GYE,07.06.,,0,07.14.,,M17243,MAX-GO KFT.,MM-760,Bizotnsági üveg -2db 670x730x15 oldalsó -1db 355x610x15 tolóajtóba elülső,"10-00009189-00, 10-00009187-00",,CsZ
SZÉV2023-200,TRUE,GYE,07.06.,,0,07.20.,,,MAX-GO KFT. (SZÉV tartalék),MM-850,Biztonsági üveg 365x665x4.5 - 4db,,,CsZ
SZÉV2023-201,TRUE,GYE,07.06.,,1,07.20.,,M14218/M19095,MAGYARMET KFT.,VD-510S,"2db NTN 7008UC GD2/GLP4
2db NTN 7008UC csapágy","20.000RPM, 40BNR-t kaptunk","Utalásra vár!
57/VPROF/2023",DÁ
SZÉV2023-202,TRUE,IMP,07.10.,,0,,,M13059,S.C.ALU META SISTEM S.R.L.,MM-760,"Szerszámcserélő tárcsa (DIN40, 16T),10-00033555-00 + tárcsa forgató csigakerék",SZÉV2022-407 + SZÉV2022-354 (korábbi rendelések),Nem rendelték meg,CsZ
SZÉV2023-203,TRUE,GYE,07.10.,,0,08.10.,,M13236,HAJDU AUTOTECHNIKA IPARI ZRT.,ZD-725síkkösz.,"10-00010597-00,Szíj / ATL10-M-100 (10/9500 poliuretán szíj) ",,,CsZ
SZÉV2023-204,TRUE,GYE,07.11.,,1,,,"M21128,
M21127",Fezima kft.,"MM-850E (BAL oldali),
MM-850E (JOBB oldali)",4+4db 7012 CTRSULP3 - NSK,Nem kérjük,"Utalásra vár !
58/VPROF/2023",DÁ
SZÉV2023-205,TRUE,GYE,07.17.,,1,07.31.,,M17191,VÁMOSGÉP kft.,WFQ-80NCT7,"Árajánlatot kérünk főorsó csapágyra, főmotor szíjtárcsára -> Árajánlat küldés ügyfinek",,,"DÁ, CsZ"
SZÉV2023-206,TRUE,GYE,07.13.,,,07.13.,,M17244,GAMMA MŰSZAKI ZRT.,MM-850,Royal főorsóba BT40-45° csipesz,,,DÁ
