Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2020-0020,TRUE,GYE,01.20.,,0,,,-,SZÉV,SZR202000414,Nyomatékkulcsok SZÉV-be,,
SZÉV2020-0021,TRUE,GYE,01.21.,,0,01.23.,,-,BKV-VJSZ KFT,EEN-400,"EEN-400 ""Z"" golyósorsó csapágyak",,"01.21. hátralék: 6305, 51305
01.23. beérkezett a maradék"
SZÉV2020-0022,TRUE,BABETT,01.22.,,0,05.15.,,M18131/P18140,Várda Vulkán Kft.,Deckel DC35,Deckel DC35 alkatrészek,,
SZÉV2020-0023,TRUE,IMP,01.22.,,0,03.25.,,M18126/P18088,Huonker Hungária,JSL-32ABMs,JSL-32 karmok,,
SZÉV2020-0024,TRUE,IMP,01.23,,0,04.21.,,M18253/P19119,SL-FORG,MSL-200,géplámpa - 5db,,
SZÉV2020-0025,TRUE,GYE,01.23,,0,02.04.,,M14035,Bombardier,Asquith MDB-180,Asquith szíjak,,"01.30. 1 db 14M, 2 db 8M-es szíj beérkezett;
Hátralék: 1 db 14M
02.04. bejött minden"
SZÉV2020-0026,TRUE,"GYE, IMP",01.23.,,0,,,M09033,Consystech,JSL-32ABMs,Mindman mágnesszelepek,,
SZÉV2020-0027,TRUE,IMP,01.23,,0,03.27.,,M11385,BOCZ-N KFT,MZT-V90,szerszámtartó,,
SZÉV2020-0028,TRUE,IMP,01.24.,,1,,,M07361;M18020,Petrus,TMV-850A,TMV-850 szerszámoldás,,
SZÉV2020-0029,TRUE,IMP,01.27.,,0,03.16.,,M18050/P18032,Gia Form,Proth PSGC-50100AHR ,Proth köszörűkorong agy,,
SZÉV2020-0030,TRUE,GYE,01.27.,,0,01.30.,,-,SZÉV,-,Menetkészítő szerszámok,,01.30. beérkeztek
SZÉV2020-0031,TRUE,GYE,01.28.,,0,01.28.,,M16098,Keresztes Zsolt,BNC-446,2 db X-tengely szíj: 475-5M-20,,
SZÉV2020-0032,TRUE,GYE,01.28,,0,01.31.,,M16276,Schunk Carbon,Klopp,HPB VM132L felújítás,,01.31. csapágyakat és lemosott motort visszakaptuk
SZÉV2020-0033,TRUE,GYE,01.28.,,0,,2020/000000070,M15247 (M08223),Hajdu Autotechnika,EmB-1604,Kaukan KO4PTS klíma kompresszor,Típus: 35D042-C6-AJJA kompresszor,
SZÉV2020-0034,TRUE,IMP,01.28.,,0,04.22.,,M17148/P18068,Jandem Kft.,Smart S8,Smart S8 kenőtáp rendelés,,
SZÉV2020-0035,TRUE,IMP,01.29.,,0,03.04.,,M18107/P18085,Zömbik Kft.,EmL-850 (MM-850SS),EmL-850 dokumentációk,,
SZÉV2020-0036,TRUE,GYE,01.30.,,0,02.28.,,-,SZÉV,-,SZÉV vegyes anyagigény 2020.01.30.,,
SZÉV2020-0037,TRUE,GYE,01.30.,,0,04.15.,,M18107/P18085,Zömbik Kft.,EmL-850 (MM-850SS),EmL-850 főorsó javítás,,
SZÉV2020-0038,TRUE,GYE,01.30.,,0,,,M14316,Contitech Fluid,EmL-510B,EmL-510 szerszámtár csapágy,,
SZÉV2020-0039,TRUE,GYE,01.31.,,0,,,M10281,Bognár és Társa,TNL-100A2,TNL-100 nyomásmérő óra,,
SZÉV2020-0040,TRUE,BABETT,01.31.,,0,07.17.,,M15077,B-Metal,SUI-63,SUI-63 revfej dokumentációk,,
SZÉV2020-0041,TRUE,GYE,02.03.,,0,02.20.,,M11110,Trimble,VD-510S,VD-510S 12.000 főmotor javítás,,
SZÉV2020-0042,TRUE,GYE,02.03.,,0,03.24.,,M13055,S&S,MM-760,3db nyomáskapcsoló gomba,,
SZÉV2020-0043,TRUE,GYE,02.03.,,0,,,M19187/P19125,Szabó Kft.,KAFO CV-7A,AiS100 pneumatika csatlakozás motor végébe,,
SZÉV2020-0044,TRUE,IMP,02.06,,0,,,M17148/P18068,Jandem Kft.,Smart S8,Smart S8 főorsó rajzok,,"Sem a Rong Fu, sem a POSA nem ad ki rajzokat"
SZÉV2020-0045,TRUE,GYE,02.06,,0,02.24.,,M11257,Grif-Tools,Smart-42,Smart-42 szinkronorsó csapágyak,,02.24. bekerült
SZÉV2020-0046,TRUE,LOG,02.07.,,0,02.07.,,M11257,Grif-Tools,Smart-42,Smart-42 szinkronorsó motor,,SZÉV raktárról
SZÉV2020-0047,TRUE,GYE,02.10.,,0,03.06,,M18047,Vörös Ipari,EMR-850B,Plexi 5x365x665 (10-01000021-00) -4db,InHand-tól rendeltünk már ilyent,
SZÉV2020-0048,TRUE,GYE,02.10.,,0,02.14,,"M18053,M16123",Schunk Carbon,Klopp (VI.),Baumüller VDOKFF 132 csapágyak,,
SZÉV2020-0049,TRUE,GYE,02.11.,,0,02.17.,,-,NCT SZÉV,Baoma,624-ZZ csapágy - 10db,,
SZÉV2020-0050,TRUE,GYE,02.11.,,0,02.19.,,M13166,Pro Form,EmR-1304D,AiS100 régi fajta csapágyazás,,
SZÉV2020-0051,TRUE,IMP,02.11.,,0,05.20.,,M17053,Gia Form,EmR-610D,Manford-EALY 30 bar-os hűtés szivattyú,,
SZÉV2020-0052,TRUE,GYE,02.12.,,0,,,M06086,Huszár Kft.,TMV-510-T,TMV-510 belső hűtés szűrő,,"BD 02.28.: Felmérjük a helyszínen a szűrőt és keresünk rá kiváltót.
EG 02.28.: Rendben!
Köszönöm!
Így sajnos nem tudunk segíteni!
Akár komplett házzal együtt cseréhez is mérjetek fel mindent!"
SZÉV2020-0053,TRUE,IMP,02.13.,,0,02.27.,,M13231,Nyír-Dinamika Kft.,EmB-1305B,EmB-1300 szerszámcserélő kar,,
SZÉV2020-0054,TRUE,IMP,02.18.,,0,05.31.,,M13049,MST,EmB-1604B,Z tengely teleszkópos burkolat,,
SZÉV2020-0055,TRUE,GYE,02.19.,,0,02.24.,,M14095,Grif-Tools,EmR-1020E,EmR-1020E 12.000 főorsó felújítás,,02.24. beérkezett
SZÉV2020-0056,TRUE,GYE,02.19.,,0,03.03.,,M11110,Trimble,VD-510S,VD-510S főorsó felújítás,,03.03. beérkezett
SZÉV2020-0057,TRUE,GYE,02.19.,,0,03.04.,,M14178/P18126,Sanatmetal,EEN-320E,EEN-320E főorsó csapágyazás,,03.04. beérkezett
SZÉV2020-0058,TRUE,GYE,02.19,,0,03.04.,,M18131/P18140,Várda Vulkán Kft.,Deckel DC35,Deckel vízátvezető cső,,03.04. beérkezett
SZÉV2020-0059,TRUE,LOG,02.20,,0,02.24,,-,SZÉV,-,Multiméter,,
SZÉV2020-0060,TRUE,GYE,02.25.,,0,04.01.,,M14095,Grif-Tools,EmR-1020E,HPB VM100L 12.000 csapágyak,,
SZÉV2020-0061,TRUE,GYE,02.26,,0,03.17.,,M16142,MST Engineering,HT-76,VDI-40 szerszámhely dugózó,,
SZÉV2020-0062,TRUE,IMP,02.26.,,0,08.04.,2020/000000693,M19070/P19040,MST Engineering,FBE-3000,Walrus TPH4T6K szivattyú FBE-3000,,
SZÉV2020-0063,TRUE,GYE,02.28.,,0,03.11.,,M16021,Litze PCE,CHM-16,CHM-16 belső sorjázó Z golyósorsó,,03.09. elhoztuk a Bearing-től
SZÉV2020-0064,TRUE,IMP,02.28.,,0,03.25.,,M10336,Bíró Kft.,Protur:2x2 (JSL-32AB),JSL-32AB ellenorsó alkatrész,,
SZÉV2020-0065,TRUE,GYE,02.28.,,0,03.05.,,M16119,Szabó Kft.,EmR-1200D,EmR-1200 szerszámozás csere,,
SZÉV2020-0066,TRUE,IMP,03.02,,0,,,M09033,CONSYSTECH,JSL-32ABMS,"""Y"" tengely védőharmonika",,
SZÉV2020-0067,TRUE,IMP,03.02,,0,,,-,KAL-SYSTEM KFT.,-,Habor/ Fázisfigyelő olajhűtőhöz E-RVR-APR3CRS (ua. mint APR3BRS),5db-t rendeljünk (WD 10-00026827-00),
SZÉV2020-0068,TRUE,GYE,03.03.,,0,03.19.,,M15245,Dendrit,Kondia B640,Kondia B640 főorsó felújítás,,
SZÉV2020-0069,TRUE,GYE,03.03.,,0,03.19.,,M06180,Log Valve,TNL-120AL,TNL-120AL főorsó csapágyak,,
SZÉV2020-0070,x,GYE,03.04.,,x,03.26,,-,SZÉV,-,SZÉV szerszámigény 2020,,
SZÉV2020-0071,TRUE,GYE,03.04.,,0,03.17.,,,Pataki Zsolt,Miniturn,Multifix tartó 10 mm-relt növelt magasságú,,
SZÉV2020-0072,TRUE,GYE,03.05.,,0,,,M18253/P19119,SL-FORG,MSL-200,MSL-200 géplámpa + nyomásmérő óra,,
SZÉV2020-0073,TRUE,GYE,03.06.,,0,03.13.,2020/000000238,-,JKSZ,MM-760,ISO40-es szerszámtartó - 12szett,e-mailben mentek a képek ,
SZÉV2020-0074,TRUE,GYE,03.09.,,0,03.18,,-,SZÉV,-,"Szűrőbetétek, alkatrészek",,
SZÉV2020-0075,TRUE,HDH,03.09.,,0,,,M08048,Poliol Pet,EmL-610,QAN200 főmotor ventilátor - 2db,"21-74899506-00,Ventillátor /  HEIDENHAIN QAN 200 motorhoz ",
SZÉV2020-0076,TRUE,GYE,03.09.,,0,03.11.,2020/000000222,M06180 ,Log Valve,TNL-120AL,TNL-120 szíjak,,
SZÉV2020-0077,TRUE,GYE,03.11.,,0,03.16.,,M18131/P18140,Várda Vulkán Kft.,Deckel DC35,Deckel DC35 O-gyűrű tömítések,,
SZÉV2020-0078,TRUE,GYE,03.12.,,0,,,P18194 / M16148,Metarad,SLOVTOS – NCT S-280,S280 munkatér ajtó szigetelés,,
SZÉV2020-0079,TRUE,GYE,03.12.,,0,03.13.,2020/000000237,"M18046,P18034,M18343",SL-Forg Sőrés László,EmR-1200B,902-120-188 Deublin forgóátvezető,,
SZÉV2020-0080,TRUE,GYE,03.13,,0,06.30.,,M14017,AI Lab,BNC-446,BNC-446 hidraulika szűrő,,
SZÉV2020-0081,TRUE,GYE,03.13,,0,03.24,,M15320,Aga-Vas,TCS-2500L,YHB-300 szűrőbetét készlet,,
SZÉV2020-0082,TRUE,GYE,03.17.,,1,,,M18007,SL-FORG,VD-510S,szűrők,,
SZÉV2020-0083,TRUE,GYE,03.17,,0,,,-,SZÉV,,"MOL zsír - 10db + 5db 1/2 mágnesszelep vízhez, 12db 30TAC, 12db 25TAC",,
SZÉV2020-0084,TRUE,IMP,03.17.,,0,04.21.,,M11110,Trimble,VD-510S,VD-510S Solpower főmotor,,Nem rendeljük meg
SZÉV2020-0085,TRUE,GYE,03.18.,,0,04.23.,2020/000000353,-,MST Engineering,-,Vízipisztolyok + tömlők,,
SZÉV2020-0086,TRUE,GYE,03.19.,,0,03.19.,2020/000000267,M17053,Gia Form,EmR-610D,EmR-610D 15.000 rpm főorsó javítás,,
SZÉV2020-0087,TRUE,GYE,03.23.,,0,03.24.,,-,SZÉV,-,1 kanna klíma olaj (HVI 15),,
SZÉV2020-0088,TRUE,GYE,03.23,,0,03.24.,,M08048,Poliol Pet,EmL-610,HDH QAN-200 főmotor javítás,,
SZÉV2020-0089,TRUE,GYE,03.23.,,0,05.05.,2020/000000382,M18106,KÓCZIÁN RÓBERT E.V.,MM-850SV,szűrőházból kellene egy nem by-bass szelepes,csatolt kép az eredeti szűrőről,
SZÉV2020-0090,TRUE,BABETT,03.23.,,0,,,M17056,Inlong Kft.,Kondia B640,Kondia B640 Z vezetékvédő,,
SZÉV2020-0091,TRUE,GYE,03.24.,,0,05.15.,,M18131/P18140,Várda Vulkán Kft.,Deckel DC35,Deckel DC35 főorsó javítás,,
SZÉV2020-0092,TRUE,GYE,03.25.,,0,03.26.,2020/000000278,M16301,Csaba-Metál,HTL-52,HTL-52 tokmány anya,,
SZÉV2020-0093,TRUE,GYE,03.26.,,0,,,-,SZÉV,-,SZÉV Szerszám - Belencsák Á. + Somogyi G.,,"EG: Részben megrendelve 07.22.

Hoffmann - BELSŐ RENDELÉS - SZERSZÁMOK - 17866357 - SZÉV2020-0093
Fairtool - BELSŐ RENDELÉS - SZERSZÁMOK - SZÉV2020-0093 (I.) (ezt megosztottam, mert 300e Ft lett volna a teljes rendelés és egyből elfogyott volna Lóri pénze, következő héten folytatjuk!)

Csatoltam az aktuális rendelési állapotot táblázatban!
"
SZÉV2020-0094,TRUE,GYE,03.26.,,0,03.27,,M020103,Albert Kft.,Kondia B640,"Kondia B640 ""Y"" golyósorsó",,
SZÉV2020-0095,TRUE,GYE,03.30.,,0,04.02.,,-,Mill-Turn,Deckel DMC-63V,DMC-63V Siemens motor javítás,,
SZÉV2020-0096,TRUE,IMP,03.30.,,0,06.03.,,-,SZÉV,MM-760,MM-760 főorsó szíj 675-5GT-30,,
SZÉV2020-0097,TRUE,IMP,03.03.,,0,08.25.,,M18172/P19012,Fischer Metall Kft.,MM-850,MM-850 - 860-5GT szíj,,
SZÉV2020-0098,TRUE,GYE,03.30.,,0,04.06.,,P19020/M17228,Rák és Rák Bt.,MXS-300MT,MXS-300MT // Vizipisztoly kiépítés,,
SZÉV2020-0099,TRUE,IMP,03.30.,,0,07.07.,,M10336,BÍRÓ,JSL-32AB,"""Z"" tengely védő",,
SZÉV2020-0100,TRUE,GYE,04.02,,0,04.03.,2020/000000308,M17053,Gia Form,EmR-610D,AiS100 tartozékok // EmR-610,,
SZÉV2020-0101,TRUE,GYE,04.03,,0,04.07,2020/000000308,M17228,Rák és Rák Bt.,MXS-300MT,Deublin 1114-020-188,"Forgócsatlakozó / Deublin (1114-020-188) forgócsatlakozó,10-00017845-00,13i - Műhely csatlakozó",
SZÉV2020-0102,TRUE,IMP,04.06.,,0,05.07.,,-,Log Valve,TMV-1050A,TMV-1050A kúpvonó gomba,,
SZÉV2020-0103,TRUE,GYE,04.06,,0,04.16.,,-,SZÉV,-,Speciális kábelkötöző // Essentra Components,,
SZÉV2020-0104,TRUE,IMP,04.06.,,1,,,-,Inter-V,TMV-850A,"TMV-850 // ""Z"" vezetékvédő",,
SZÉV2020-0105,TRUE,GYE,04.06.,,0,04.07.,2020/000000311,M17271/P17031,Plasma-Tech,EmL-850,"EmL-850 // ""X"" és ""Y"" golyósorsó csapágyazás",,
SZÉV2020-0106,TRUE,IMP,04.07.,,1,,,M08051,PLASMA-TECH SYSTEMS KFT.,EmL-850,karforgató motor,,
SZÉV2020-0107,TRUE,GYE,04.09.,,0,05.04,,-,Plastic-Form,Kondia A6,Kondia A6 főorsó csapágyazás,,
SZÉV2020-0108,TRUE,GYE,04.09,,0,04.23.,,M05052,77 Ing Vagyongazdálkodási Kft.,TMV-510T,TMV-510T főorsó szíj,,
SZÉV2020-0109,TRUE,GYE,04.14.,,0,04.21.,,M15127,MVM OVIT,LT-52,LT-52 főorsó szíj,1550-11M-5 pályás (kb. 35mm széles),
SZÉV2020-0110,TRUE,IMP,04.15.,,0,04.23.,,M16234/P18184,MVM OVIT,LT-65,Auto Strong meghúzó,,
SZÉV2020-0111,TRUE,GYE,04.15.,,0,04.16.,,-,SZÉV,-,AiS100 15.000 csapágykészlet // 2020.04.15.,,
SZÉV2020-0112,TRUE,IMP,04.15,,0,06.09.,,-,SZÉV,MM760," Főorsó melletti szelep,10-00026826-00 - 5db",,
SZÉV2020-0113,TRUE,GYE,04.15.,,0,05.04.,,-,Dendrit,Kondia HM-1060,K-HM1060 főorsó felújítás,,
SZÉV2020-0114,TRUE,IMP,04.16.,,0,,,M17183,Pneu-Cattus Kft.,MM-850,MM-850 tármozgató munkahenger,,
SZÉV2020-0115,TRUE,BABETT,04.16.,,0,06.08.,,M07328,Gimsz,JCL-60TS-DT,TBMR-160 alkatrészrendelés,,
SZÉV2020-0116,TRUE,GYE,04.16.,,0,05.05.,,-,JENDRASSIK GYÖRGY SZKI ,EMCO COMPACT 5 CNC (szürke),Főorsó csapágyak kellenek,,
SZÉV2020-0117,TRUE,GYE,04.17.,,0,04.17.,2020/000000343,M11257,Grif-Tools,Smart-42,Smart-42 szíjak,,
SZÉV2020-0118,TRUE,IMP,04.17.,,0,06.25.,,M08052,Fastron Hungária,EmB-V1600MC,EmB-1600 szerszámoldó munkahenger,,
SZÉV2020-0119,TRUE,GYE,04.17.,,0,04.23.,2020/000000354,M16307,Axicont,EmR-1200B,Axicont szivattyú csere,,
SZÉV2020-0120,TRUE,IMP,04.20.,,0,05.05.,,-,SZÉV,JSL-32AB,32-es patron meghúzó,,
SZÉV2020-0121,TRUE,GYE,04.20,,0,04.23,,-,SZÉV,Nikken 5AX-200,Nikken hidraulika tömb,,
SZÉV2020-0122,TRUE,GYE,04.20.,,0,04.21.,,M18009,Tradeflex,NTP-510S (VD-510S),VD-510S szekrényklíma,,
SZÉV2020-0123,TRUE,MÁTÉ,04.21,,0,07.07.,,M19002,NCT 2000,Spirsin 82240.3F-260,Heidenhain ECN125,,
SZÉV2020-0124,TRUE,IMP,04.21.,,1,12.14.,,M17134,Meci és Társa Kft.,KAFO CV-7A,KAFO // Hinaka munkahenger,,
SZÉV2020-0125,TRUE,IMP,04.21.,,0,12.14.,,M16108,Jónás László EV,EmL-1020B,Manford // Hinaka munkahenger,,
SZÉV2020-0126,TRUE,GYE,04.21.,,0,04.23.,2020/000000350,M11257,Grif-Tools,Smart-42,7M-1650 szíj // Smart-42,,
SZÉV2020-0127,TRUE,GYE,04.22.,,0,04.23.,2020/000000352,?,K-Kart,-,HP75L4-12MB 6 bar-os szűrőbetét,,
SZÉV2020-0128,TRUE,IMP,04.22.,,0,05.15.,,M10143,FMF,EmB-1104G,Manford // EmB-1104 tetőburkolat,,
SZÉV2020-0129,TRUE,GYE,04.22,,0,05.06.,,M08189,Bombardier,EmB-1300,EmB-1300 // Munkahenger rugó,"CNC marógép EMB 1300 szerszám lazító rugó.
Spirál rugó hossz: 50 mm
Rugó átmérő: Ø64
Rugóhuzal : Ø6
Menetemelkedés: kb.20-22
Darabszám: 2db",
SZÉV2020-0130,TRUE,IMP,04.24.,,1,,,M07283,Mobilinter,TNL-100ADT,"TNL-100ADT // ""X"" tengely burkolat",,
SZÉV2020-0131,TRUE,IMP,04.24.,,0,06.25.,,-,SZÉV,Nikken 5AX-200,Nikken // 5AX-200 CNC körasztal,,
SZÉV2020-0132,TRUE,IMP,04.27.,,0,,,M18099/P19010,Plasma-Tech,KAFO CV-7A,Ködkenő táp // KAFO CV-7A,,
SZÉV2020-0133,TRUE,GYE,04.27.,,0,05.06.,,-,SZÉV,-,MM-760 // 8.000 rpm főorsó,,
SZÉV2020-0134,TRUE,BABETT,04.28,,1,,,M16204,Jedlik SZKI,Tomill-250,Y golyósorsó,,
SZÉV2020-0135,TRUE,IMP,04.28.,,0,09.08.,BET2020/02868,-,SZÉV,-,Nyomásmérő óra // SKON,,
SZÉV2020-0136,TRUE,IMP,04.28.,,1,,,M14278,Dendrit,BAOMA-EDM350 ZNC,"""C:\CARD ERROR"" hibával indul",csere alaktrészre árajánlat kellene,
SZÉV2020-0137,TRUE,GYE,04.28.,,0,,2020/000000373,-,SZÉV,-,TNL szivattyú + Kafo ködkenő,,
SZÉV2020-0138,TRUE,GYE,04.29.,,0,05.20.,,M19142/P20018,PLASMA-TECH SYSTEMS KFT.,EmL-1200SV,Levegőpisztoly + cső // EmL-1200SV,,
SZÉV2020-0139,TRUE,GYE,04.29.,,0,04.30.,,M17229,VFP Systems,KAFO CV-7A,Deublin 1114-020-188 // KAFO CV-7A,,
SZÉV2020-0140,TRUE,GYE,04.30.,,0,08.04,,M12002,TS Hungária,VL-100C,Jeladó kuplung // VL-100C karusszel,,"EG: MEGRENDELVE 07.21.
Bervina - RENDELÉS - SZR202002430 - SZÉV2020-0140 - VL-100C - Jeladó kuplung
Várható beérkezés 07.30."
SZÉV2020-0141,TRUE,BABETT,05.05.,,1,12.14.,,M13302,Schoen&Sandt,Scharmann Eco-Cut,Szerszámtartó // Scharmann Eco-Cut,,
SZÉV2020-0142,TRUE,IMP,05.05.,,0,05.25.,,M12002,TS Hungária,VL-100C,Szerszámtár csapágyak // VL-100C karusszel,,05.25. BD: 2 db 33020 előkészítve
SZÉV2020-0143,TRUE,GYE,05.05.,,0,,,-,BKV-VJSZ KFT,EEN-400,"""X"" tengely szíj // EEN-400",,
SZÉV2020-0144,TRUE,IMP,05.05.,,0,08.25.,,M11373,TS Hungária,BNC-26120,Vezetőkocsi // BNC-26120,,
SZÉV2020-0145,TRUE,LOG,05.06.,,0,05.27.,,M17229,VFP Systems,KAFO CV-7A,AiS100 15.000 // KAFO CV-7A,,
SZÉV2020-0146,TRUE,GYE,05.07.,,1,,,M05093,Kovas Kft.,Euromill-1000,5/3-as levegő szelep // Euromill-1000,,
SZÉV2020-0147,TRUE,IMP,05.07,,0,07.16,,M16121,JÓNÁS LÁSZLÓ EV,BNC-1840,"""X"" tengely szíj és szíjtárcsákra kérnénk árajánlatot",,
SZÉV2020-0148,TRUE,GYE,05.07.,,0,05.18.,,M13289,K-Kart,TMV-1050A,Csészebillentő henger szelep // TMV-1050A,,
SZÉV2020-0149,TRUE,GYE,05.08,,0,05.08.,,-,SZÉV,-,"Nagynyomású vízszűrő, BNC-2180 szíjak",,
SZÉV2020-0150,TRUE,GYE,05.11.,,0,05.11.,,M05047,Manz Hungária,TNL-100AL,Revfej hidrualika szelep // TNL-100AL,,
SZÉV2020-0151,TRUE,GYE,05.11.,,0,06.23.,,M06272,Nivelco,TMV-850A,Főorsó javítás 8.000 rpm // TMV-850A,,
SZÉV2020-0152,TRUE,BABETT,05.11.,,0,07.17.,,M17238,H-Metal,MM-850,Hofmann WRNC-200S körasztal csigahajtás,,
SZÉV2020-0153,TRUE,GYE,05.12.,,0,,,-,SZÉV,-,Fejes Atti eszköz igény // Hoffmann,,"EG: MEGRENDELVE 07.22.
Hoffmann - BELSŐ RENDELÉS - SZERSZÁMOK - 17866357 - SZÉV2020-0093Várható beérkezés 2-3 munkanap
Fairtool - BELSŐ RENDELÉS - SZERSZÁMOK - SZÉV2020-0093 (I.)Beérkezett ma délután, hétvégén elküldjük neki Berettyóba vagy beküldjük a SZÉV-be?"
SZÉV2020-0154,FALSE,IMP,05.13.,,1,,,M18169;P18158,Magyarmet,MXS-650DD,Hidraulika szivattyú // MXS-650DD,,
SZÉV2020-0155,TRUE,GYE,05.14,,0,05.15,,B7750,PLASTIC-FORM,A-6,Főorsó köszörülés,,
SZÉV2020-0156,TRUE,GYE,05.15.,,0,05.15.,,-,SZÉV,-,SZÉV Csapágyigény 05.15.,,
SZÉV2020-0157,TRUE,IMP,05.18,,0,07.20.,,M16164,Metarad,KAFO CV-7A,Cserélőkar // Kafo CV-7A,,
SZÉV2020-0158,TRUE,IMP,05.18.,,0,07.23.,,M15065,Gyopár 2000,RY-42,Hidraulika szűrő // RY-42,,
SZÉV2020-0159,TRUE,BABETT,05.19.,,0,07.22.,,M11373,TS Hungária,BNC-26120,Baruffaldi torony revfej // BNC-26120,,
SZÉV2020-0160,TRUE,GYE,05.20.,,0,06.09.,,M17147/P18054,S.C. Metagalax,Smart S8,Szerszámtár szíj // Smart S8,,
SZÉV2020-0161,TRUE,IMP,05.20.,,0,05.21.,,M06213,Slovtos,EL-2000,Gépkönyv // East Lion BT2000,,
SZÉV2020-0162,TRUE,BABETT,05.21.,,0,11.25.,,-,PLASTIC-FORM,Kondia A6,DIN40 főorsó csipesz // Kondia A6,,
SZÉV2020-0163,TRUE,GYE,05.27.,,0,06.08.,,M15116,Szkaliczki,EmR-1020D,Deublin 1109-020-188 // EmR-1020D,,
SZÉV2020-0164,TRUE,GYE,05.27.,,0,06.16.,2020/000000515,-,SZÉV,-,SZÉV anyagigény // 2020.05.27.,,
SZÉV2020-0165,TRUE,IMP,05.27,,0,06.03,,M11382,ABRAKADABRA DIRBTUVES,EmL-250,Kezelési útmutató // EmL-250,,
SZÉV2020-0166,TRUE,GYE,05.27.,,0,06.03.,,M15116,Szkaliczki,EmR-1020D,Csapágyak // Szkaliczki AiS100 15.000 rpm,,
SZÉV2020-0167,TRUE,IMP,05.28,,0,10.09.,2020/000000860,M18180,DGA15,KAFO BMC-2012,Szűrőbetétek // KAFO BMC-2012,,
SZÉV2020-0168,TRUE,BABETT,06.02.,,0,06.16.,,M16142,MST Engineering,HT-76,TBHMA-200 szorítódugó // HT-76,,
SZÉV2020-0169,TRUE,IMP,06.03.,,0,07.06.,,M08073,Magyarmet,TMV-1050A,Kúptisztító levegő átvezető persely // TMV-1050A,,
