Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2020-0001,TRUE,GYE,01.06.,,0,01.10.,,M18126/P18088,Huonker Hungária,JSL-32ABMs,JSL-32ABMs főhajtás szíjak,,
SZÉV2020-0002,TRUE,IMP,01.07.,,0,03.18.,,M17265/P17014,Draft 2000,EmL-610B,VL-610 főorsó menesztődió,,
SZÉV2020-0003,TRUE,GYE,01.07.,,0,01.09.,,M16203,Drain-ÉP-Ker,EmR-610D,EmR-610 szerszámtár motor,,
SZÉV2020-0004,TRUE,GYE,01.08.,,0,-,,M13307,S.C.OTELURI SI DEBITARI S.R.L.,EmL-610B,"EmL-610 ""Y"" golyósorsó + kuplung",,
SZÉV2020-0005,TRUE,GYE,01.08.,,0,04.27.,,-,SZÉV,-,Fejes Attila szerszámigény,,
SZÉV2020-0006,TRUE,IMP,01.09.,,0,,,M14165/P17001,Sanatmetal,EmR-1200M-5HTA billenőfejes,Microlab főorsó rajz,,
SZÉV2020-0007,TRUE,IMP,01.10.,,0,,,M11087,EFT és Társai Kft.  ,JCL-75AMSDT,JCL-75 szerszámbemérő,,
SZÉV2020-0008,TRUE,BABETT,01.10.,,0,03.02.,,M11230,Bombardier,AXA VSC-3-5000,AXA 280 munkahenger,,
SZÉV2020-0009,TRUE,IMP,01.10.,,0,08.25.,,-,SZÉV,-,Hinaka szerszámoldó szelep,,
SZÉV2020-0010,TRUE,IMP,01.10,,0,03.27.,,-,KNK (kamu HB),EML610,Esernyőtáras rugók,,
SZÉV2020-0011,FALSE,GYE,01.13,,0,,,-,SZÉV,-,"MPT-500 3L/PL (15-50bar) ILC kenő tápegység olajzó (500ccm) 60.822.2,10-00010191-00 - 3db",,S.A: : Megrendelve . : SZR202002417  - 
SZÉV2020-0012,TRUE,GYE,01.13.,,0,01.28.,2020/000000065,M14165/P17001,Sanatmetal,EmR-1200M-5HTA billenőfejes,Microlab főorsó javítás,,01.22. csapágyakat megkaptuk
SZÉV2020-0013,TRUE,GYE,01.13.,,0,,,M18131/P18140,Várda Vulkán Kft.,Deckel DC35,Deckel forgóátvezető,,
SZÉV2020-0014,TRUE,GYE,01.13.,,0,01.27,,M16204,Győri Műszaki Szakképzési Centrum Jedlik,Tomill-250,"Tomill-250 ""Y"" golyósorsó",,01.27. Pilcz Robi behozta az orsót
SZÉV2020-0015,TRUE,LOG,01.15.,,0,01.15.,2020/000000035,-,ELIN Metal,BFT-130,"A38-54-20-EH/4096 ""X"" motor",,01.15. 1 db Ai40-54-20-EH/4096-Z1  kiváltó motor
SZÉV2020-0016,TRUE,IMP,01.15.,,1,,,M18009,Tradeflex,NTP-510,Habor klíma panel,,
SZÉV2020-0017,TRUE,GYE,01.15.,,0,01.20.,,M13166,Pro Form,EmR-1304D,AiS100 levegő csatlakozó motor végébe,,01.20. beérkezett
SZÉV2020-0018,TRUE,HDH,01.16.,,1,01.22,,M08128,APTIV,EmL510,ERN 1381 / 1024 jeladó,,
SZÉV2020-0019,TRUE,GYE,01.20.,,0,02.04.,,M16149,NCT Akadémia,S280DT,S280 főhajtás szíj,,02.24. beérkezett
