DÁTUM,CÉGNÉV,CÍM,ÜGYFÉL NEVE,"""M"" SZÁM",ESZKÖZ,Megjegyzés
2026.02.06.,NCT ,Taksony,,,MC542,Selejt
2026.02.06.,NCT ,Taksony,,,LRS-350-48,Selejt
